src,dst,edge_type
lane10:B1:s2->s1,rank26:B1,backward_receive
lane10:B1:s2->s1,rank42:B2,blocking_backward_send
lane10:B1:s3->s2,rank42:B1,backward_receive
lane10:B1:s3->s2,rank58:B2,blocking_backward_send
lane10:B1:s4->s3,rank58:B1,backward_receive
lane10:B1:s4->s3,rank74:B2,blocking_backward_send
lane10:B1:s5->s4,rank74:B1,backward_receive
lane10:B1:s5->s4,rank90:B2,blocking_backward_send
lane10:B1:s6->s5,rank106:B2,blocking_backward_send
lane10:B1:s6->s5,rank90:B1,backward_receive
lane10:B1:s7->s6,rank106:B1,backward_receive
lane10:B1:s7->s6,rank122:B2,blocking_backward_send
lane10:B1:s8->s7,rank122:B1,backward_receive
lane10:B1:s8->s7,rank138:B2,blocking_backward_send
lane10:B1:s9->s8,rank138:B1,backward_receive
lane10:B1:s9->s8,rank154:B2,blocking_backward_send
lane10:B2:s1->s0,rank10:B2,backward_receive
lane10:B2:s1->s0,rank26:B3,blocking_backward_send
lane10:B2:s10->s9,rank154:B2,backward_receive
lane10:B2:s10->s9,rank170:B3,blocking_backward_send
lane10:B2:s11->s10,rank170:B2,backward_receive
lane10:B2:s11->s10,rank186:B3,blocking_backward_send
lane10:B2:s12->s11,rank186:B2,backward_receive
lane10:B2:s12->s11,rank202:B3,blocking_backward_send
lane10:B2:s13->s12,rank202:B2,backward_receive
lane10:B2:s13->s12,rank218:B3,blocking_backward_send
lane10:B2:s14->s13,rank218:B2,backward_receive
lane10:B2:s14->s13,rank234:B3,blocking_backward_send
lane10:B2:s15->s14,rank234:B2,backward_receive
lane10:B2:s15->s14,rank250:F3,blocking_backward_send
lane10:B2:s2->s1,rank26:B2,backward_receive
lane10:B2:s2->s1,rank42:B3,blocking_backward_send
lane10:B2:s3->s2,rank42:B2,backward_receive
lane10:B2:s3->s2,rank58:B3,blocking_backward_send
lane10:B2:s4->s3,rank58:B2,backward_receive
lane10:B2:s4->s3,rank74:B3,blocking_backward_send
lane10:B2:s5->s4,rank74:B2,backward_receive
lane10:B2:s5->s4,rank90:B3,blocking_backward_send
lane10:B2:s6->s5,rank106:B3,blocking_backward_send
lane10:B2:s6->s5,rank90:B2,backward_receive
lane10:B2:s7->s6,rank106:B2,backward_receive
lane10:B2:s7->s6,rank122:B3,blocking_backward_send
