iteration,pp_stage,behavior,kind,round,group_key,fct_group_id,group_size,observed_ranks,payload_bytes,reference_first_start_ns,reference_ready_ns,reference_group_end_ns,simulated_first_start_ns,simulated_ready_ns,simulated_group_end_ns,reference_tail_after_last_release_ns,simulated_tail_after_last_release_ns,network_tail_shift_ns,group_finish_shift_ns,iteration_drag_ns,hidden_by_slack_ns,downstream_slack_ns,exposure_ratio,fully_hidden,critical_before,critical_after
55,7,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1155,iter55:pp7:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1155,2,2,7549747200,1785477759709718668,1785477759709823642,1785477759916448261,1785477759709718668,1785477759709823642,1785477759957773185,206624619,247949543,41324924,41324924,0,41324924,5058368207,0.0,True,False,False
55,7,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1157,iter55:pp7:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1157,2,2,7549747200,1785477759709904041,1785477759709991640,1785477759919517493,1785477759709904041,1785477759709991640,1785477759961422664,209525853,251431024,41905171,41905171,0,41905171,5055298975,0.0,True,False,False
55,7,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1159,iter55:pp7:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1159,2,2,7549747200,1785477759709668002,1785477759710006838,1785477759921516754,1785477759709668002,1785477759710006838,1785477759963818737,211509916,253811899,42301983,42301983,0,42301983,5053299714,0.0,True,False,False
55,7,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1161,iter55:pp7:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1161,2,2,7549747200,1785477759709673038,1785477759710124755,1785477759915791190,1785477759709673038,1785477759710124755,1785477759956924477,205666435,246799722,41133287,41133287,0,41133287,5059025278,0.0,True,False,False
55,7,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1163,iter55:pp7:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1163,2,2,7549747200,1785477759709971170,1785477759710022701,1785477759910144790,1785477759709971170,1785477759710022701,1785477759950169208,200122089,240146507,40024418,40024418,0,40024418,5064671678,0.0,True,False,False
55,7,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1165,iter55:pp7:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1165,2,2,7549747200,1785477759710002340,1785477759710144384,1785477759925998851,1785477759710002340,1785477759710144384,1785477759969169744,215854467,259025360,43170893,43170893,0,43170893,5048817617,0.0,True,False,False
55,7,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1167,iter55:pp7:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1167,2,2,7549747200,1785477759709988473,1785477759710264188,1785477759919280391,1785477759709988473,1785477759710264188,1785477759961083632,209016203,250819444,41803241,41803241,0,41803241,5055536077,0.0,True,False,False
55,7,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1169,iter55:pp7:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1169,2,2,7549747200,1785477759709950342,1785477759710512643,1785477759922788590,1785477759709950342,1785477759710512643,1785477759965243779,212275947,254731136,42455189,42455189,0,42455189,5052027878,0.0,True,False,False
55,8,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=17,iter55:pp8:dp_ag0:round0:dp_param_allgather:pg=17,16,16,98621440,1785477765003347189,1785477765004468908,1785477765012290747,1785477765003347189,1785477765004468908,1785477765013855115,7821839,9386207,1564368,1564368,0,1564368,13422283,0.0,True,False,False
55,8,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=17,iter55:pp8:dp_ag1:round1:dp_param_allgather:pg=17,16,16,98621440,1785477765151080243,1785477765157972721,1785477765165740626,1785477765151080243,1785477765157972721,1785477765167294207,7767905,9321486,1553581,1553581,0,1553581,13422283,0.0,True,False,False
