arrival_wait_ns,group_key,service_ns,end_ns,group_size,completion_advance_ns,start_ns,group_first_start_ns,round,rank,iteration,pp_stage,group_ready_ns,group_end_ns,kind,behavior,observed_ranks,payload_bytes,dependency,dependency_lag_ns,predicted_start_ns,predicted_group_ready_ns,predicted_group_first_start_ns,service_scale,fct_group_id,fct_request_id,fct_source,oisa_collective_elapsed_ns,oisa_arrival_span_ns,oisa_tail_after_last_release_ns,predicted_collective_elapsed_ns,predicted_service_ns,predicted_group_end_ns,predicted_completion_advance_ns,completion_model,predicted_end_ns
959405,dp_param_allgather:pg=1,11548154,1785477765089456171,16,1571,1785477765076950183,1785477765074595964,1,4,55,0,1785477765077909588,1785477765089457742,dp_ag1,dp_param_allgather,16,148986880,same_rank_edp_ag0,22593330,1785477765076619305,1785477765077578710,1785477765073775839,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-14d6fcda815c,mock_oisa_scale_1.2,17660656,3802871,13857785,17660656,13857785,1785477765091436495,1571,trace_group_end_lag_clamped,1785477765091434924
2800357,dp_param_allgather:pg=1,11548154,1785477765089451716,16,6026,1785477765075109231,1785477765074595964,1,5,55,0,1785477765077909588,1785477765089457742,dp_ag1,dp_param_allgather,16,148986880,same_rank_edp_ag0,22662870,1785477765074404461,1785477765077578710,1785477765073775839,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-14d6fcda815c,mock_oisa_scale_1.2,17660656,3802871,13857785,17660656,13857785,1785477765091436495,6026,trace_group_end_lag_clamped,1785477765091430469
2091993,dp_param_allgather:pg=1,11548154,1785477765089409813,16,47929,1785477765075817595,1785477765074595964,1,6,55,0,1785477765077909588,1785477765089457742,dp_ag1,dp_param_allgather,16,148986880,same_rank_edp_ag0,22576176,1785477765075272187,1785477765077578710,1785477765073775839,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-14d6fcda815c,mock_oisa_scale_1.2,17660656,3802871,13857785,17660656,13857785,1785477765091436495,47929,trace_group_end_lag_clamped,1785477765091388566
3036170,dp_param_allgather:pg=1,11548154,1785477765089441983,16,15759,1785477765074873418,1785477765074595964,1,7,55,0,1785477765077909588,1785477765089457742,dp_ag1,dp_param_allgather,16,148986880,same_rank_edp_ag0,22621150,1785477765074131987,1785477765077578710,1785477765073775839,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-14d6fcda815c,mock_oisa_scale_1.2,17660656,3802871,13857785,17660656,13857785,1785477765091436495,15759,trace_group_end_lag_clamped,1785477765091420736
2235504,dp_param_allgather:pg=1,11548154,1785477765089435228,16,22514,1785477765075674084,1785477765074595964,1,8,55,0,1785477765077909588,1785477765089457742,dp_ag1,dp_param_allgather,16,148986880,same_rank_edp_ag0,23451482,1785477765074922975,1785477765077578710,1785477765073775839,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-14d6fcda815c,mock_oisa_scale_1.2,17660656,3802871,13857785,17660656,13857785,1785477765091436495,22514,trace_group_end_lag_clamped,1785477765091413981
886866,dp_param_allgather:pg=1,11548154,1785477765089431502,16,26240,1785477765077022722,1785477765074595964,1,9,55,0,1785477765077909588,1785477765089457742,dp_ag1,dp_param_allgather,16,148986880,same_rank_edp_ag0,23637236,1785477765076499983,1785477765077578710,1785477765073775839,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-14d6fcda815c,mock_oisa_scale_1.2,17660656,3802871,13857785,17660656,13857785,1785477765091436495,26240,trace_group_end_lag_clamped,1785477765091410255
1746618,dp_param_allgather:pg=1,11548154,1785477765089442887,16,14855,1785477765076162970,1785477765074595964,1,10,55,0,1785477765077909588,1785477765089457742,dp_ag1,dp_param_allgather,16,148986880,same_rank_edp_ag0,23803866,1785477765075447406,1785477765077578710,1785477765073775839,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-14d6fcda815c,mock_oisa_scale_1.2,17660656,3802871,13857785,17660656,13857785,1785477765091436495,14855,trace_group_end_lag_clamped,1785477765091421640
2418749,dp_param_allgather:pg=1,11548154,1785477765089430803,16,26939,1785477765075490839,1785477765074595964,1,11,55,0,1785477765077909588,1785477765089457742,dp_ag1,dp_param_allgather,16,148986880,same_rank_edp_ag0,23612154,1785477765074670714,1785477765077578710,1785477765073775839,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-14d6fcda815c,mock_oisa_scale_1.2,17660656,3802871,13857785,17660656,13857785,1785477765091436495,26939,trace_group_end_lag_clamped,1785477765091409556
0,dp_param_allgather:pg=1,11548154,1785477765089442866,16,14876,1785477765077909588,1785477765074595964,1,12,55,0,1785477765077909588,1785477765089457742,dp_ag1,dp_param_allgather,16,148986880,same_rank_edp_ag0,23552704,1785477765077578710,1785477765077578710,1785477765073775839,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-14d6fcda815c,mock_oisa_scale_1.2,17660656,3802871,13857785,17660656,13857785,1785477765091436495,14876,trace_group_end_lag_clamped,1785477765091421619
1939251,dp_param_allgather:pg=1,11548154,1785477765089395289,16,62453,1785477765075970337,1785477765074595964,1,13,55,0,1785477765077909588,1785477765089457742,dp_ag1,dp_param_allgather,16,148986880,same_rank_edp_ag0,23517936,1785477765075265567,1785477765077578710,1785477765073775839,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-14d6fcda815c,mock_oisa_scale_1.2,17660656,3802871,13857785,17660656,13857785,1785477765091436495,62453,trace_group_end_lag_clamped,1785477765091374042
