world,iteration,stage,rank,ep_group,mb,local_layer,layer,tokens_per_expert,token_rows,nonempty_experts,max_expert_rows,min_expert_rows,checkpoint_forward_event,checkpoint_sequence,forward_step_event,checkpoint_backward_event,backward_execution_order,backward_step_event,F_FC1_gpu_ms,F_FC1_gemm_ms,F_FC1_gemm_count,F_FC1_gap_ms,F_inter_FC_local_gpu_ms,F_inter_FC_local_gemm_ms,F_inter_FC_local_gemm_count,F_inter_FC_local_gap_ms,F_FC2_gpu_ms,F_FC2_gemm_ms,F_FC2_gemm_count,F_FC2_gap_ms,recompute_FC1_gpu_ms,recompute_FC1_gemm_ms,recompute_FC1_gemm_count,recompute_FC1_gap_ms,backward_FC1_gpu_ms,backward_FC1_gemm_ms,backward_FC1_gemm_count,backward_FC1_gap_ms,recompute_FC2_gpu_ms,recompute_FC2_gemm_ms,recompute_FC2_gemm_count,recompute_FC2_gap_ms,backward_FC2_gpu_ms,backward_FC2_gemm_ms,backward_FC2_gemm_count,backward_FC2_gap_ms,recompute_inter_FC_local_gpu_ms,recompute_inter_FC_local_gemm_ms,recompute_inter_FC_local_gemm_count,recompute_inter_FC_local_gap_ms,backward_inter_FC_local_gpu_ms,backward_inter_FC_local_gemm_ms,backward_inter_FC_local_gemm_count,backward_inter_FC_local_gap_ms,F_FC_gemm_ms,recompute_FC_gemm_ms,backward_FC_gemm_ms,B_FC_gemm_ms
224,60,9,144,"[144, 145, 146, 147, 148, 149, 150, 151]",1,0,35,"[0, 0, 0, 0, 2310, 4920, 0, 0, 0, 0, 4920, 0, 0, 0, 0, 23, 0, 0, 69, 0]",12242,5,4920,0,28212,9286,28211,14507,3,33879,1.13364013671875,1.13364013671875,5,0.009359863281249936,0.53811962890625,0.0,0,0.011439941406250043,0.66327978515625,0.66327978515625,5,0.015440429687500035,1.207958984375,1.207958984375,5,0.012880371093749954,2.69711767578125,2.69711767578125,10,0.03012011718749985,0.67887890625,0.67887890625,5,0.01220019531249994,1.39163916015625,1.39163916015625,10,0.027040039062499854,0.53695947265625,0.0,0,0.011560546874999966,1.093400390625,0.0,0,0.02203955078124986,1.796919921875,1.886837890625,4.088756835937501,5.975594726562501
224,60,9,144,"[144, 145, 146, 147, 148, 149, 150, 151]",1,1,36,"[0, 0, 0, 3757, 0, 0, 0, 0, 0, 4148, 0, 0, 0, 0, 0, 0, 4207, 0, 0, 1013]",13125,4,4207,0,28909,9298,28211,12436,2,33879,1.18847998046875,1.18847998046875,4,0.014440429687500034,0.5709599609375,0.0,0,0.01727929687499996,0.633439453125,0.633439453125,4,0.010360351562499925,1.1863994140625,1.1863994140625,4,0.017959960937499853,2.484798828125,2.484798828125,8,0.03292041015624969,0.636279296875,0.636279296875,4,0.012520019531250037,1.42423876953125,1.42423876953125,8,0.023240234375000002,0.57727978515625,0.0,0,0.01120019531250005,1.1498798828125,0.0,0,0.021679199218749945,1.82191943359375,1.8226787109375,3.9090375976562504,5.73171630859375
224,60,9,144,"[144, 145, 146, 147, 148, 149, 150, 151]",1,2,37,"[0, 4920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4920,1,4920,0,29606,9310,28211,10365,1,33879,0.4100400390625,0.4100400390625,1,0.0,0.17655859375,0.0,0,0.00896044921875,0.24635986328125,0.24635986328125,1,0.0,0.41951904296875,0.41951904296875,1,0.0,0.86564013671875,0.86564013671875,2,0.006545410156250098,0.24047998046875,0.24047998046875,1,0.0,0.4397998046875,0.4397998046875,2,0.006360351562499977,0.16235986328125,0.0,0,0.010160644531250013,0.39604052734375,0.0,0,0.24299853515624997,0.65639990234375,0.6599990234374999,1.30543994140625,1.96543896484375
224,60,9,144,"[144, 145, 146, 147, 148, 149, 150, 151]",1,3,38,"[0, 0, 0, 4920, 0, 0, 0, 1236, 0, 0, 0, 4920, 1622, 0, 0, 0, 0, 3083, 0, 4920]",20701,6,4920,0,30303,9322,28211,8294,0,33879,1.880119140625,1.880119140625,6,0.01947998046874999,0.89783935546875,0.0,0,5.532876953125,1.03607958984375,1.03607958984375,6,0.011919433593750028,1.85707958984375,1.85707958984375,6,0.012839355468750036,4.0775185546875,4.0775185546875,12,0.0423593750000002,1.07856005859375,1.07856005859375,6,0.0118403320312499,2.073359375,2.073359375,12,0.031759765624999936,0.90195947265625,0.0,0,0.011119628906250068,1.76063818359375,0.0,0,0.020560546875000085,2.91619873046875,2.9356396484375002,6.1508779296875,9.086517578125001
224,60,9,144,"[144, 145, 146, 147, 148, 149, 150, 151]",2,0,35,"[0, 0, 0, 0, 1083, 4920, 0, 0, 0, 0, 4920, 0, 0, 0, 0, 46, 0, 0, 10, 0]",10979,5,4920,0,31040,9336,31039,22800,3,33891,1.10468017578125,1.10468017578125,5,0.0093994140625,0.48480029296875,0.0,0,0.011160156249999997,0.6116787109375,0.6116787109375,5,0.007400390624999975,1.073919921875,1.073919921875,5,0.01080029296875007,2.5135185546875,2.5135185546875,10,0.03043994140625017,0.594240234375,0.594240234375,5,0.008520019531250034,1.34096044921875,1.34096044921875,10,0.02511962890625008,0.47579931640625,0.0,0,0.011799316406249982,0.97639892578125,0.0,0,0.02028027343750005,1.71635888671875,1.66816015625,3.85447900390625,5.52263916015625
224,60,9,144,"[144, 145, 146, 147, 148, 149, 150, 151]",2,1,36,"[0, 0, 2, 4920, 0, 0, 0, 0, 0, 4556, 0, 0, 0, 0, 0, 0, 1706, 0, 0, 1997]",13181,5,4920,0,31737,9348,31039,20729,2,33891,1.2313994140625,1.2313994140625,5,0.016640136718750087,0.57815966796875,0.0,0,0.009639648437500092,0.69179931640625,0.69179931640625,5,0.009400390624999977,1.248478515625,1.248478515625,5,0.01756054687499997,2.73355810546875,2.73355810546875,10,0.0271601562499999,0.6692001953125,0.6692001953125,5,0.007999511718750019,1.501078125,1.501078125,10,0.025920410156250018,0.578240234375,0.0,0,0.011759765624999918,1.17131982421875,0.0,0,1.6593193359375003,1.9231987304687501,1.9176787109375,4.23463623046875,6.1523149414062495
224,60,9,144,"[144, 145, 146, 147, 148, 149, 150, 151]",2,2,37,"[4, 4241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4245,2,4241,0,32434,9360,31039,18658,1,33891,0.4149599609375,0.4149599609375,2,0.0015605468750000129,0.161599609375,0.0,0,1.34895947265625,0.22192041015625,0.22192041015625,2,0.001599609375000005,0.42143994140625,0.42143994140625,2,0.0028798828124999565,0.9493193359375,0.9493193359375,4,0.014759765625000032,0.23227978515625,0.23227978515625,2,0.0026801757812499882,0.5456396484375,0.5456396484375,4,0.012479980468749985,0.1524794921875,0.0,0,0.17796044921874998,0.34795947265625,0.0,0,0.34636035156250006,0.63688037109375,0.6537197265625,1.494958984375,2.1486787109375
224,60,9,144,"[144, 145, 146, 147, 148, 149, 150, 151]",2,3,38,"[0, 0, 0, 4920, 0, 0, 0, 4, 0, 0, 0, 4920, 222, 0, 0, 0, 0, 1688, 0, 4920]",16674,6,4920,0,33131,9372,31039,16587,0,33891,1.5895595703125,1.5895595703125,6,0.015639160156249998,0.727798828125,0.0,0,0.01100000000000001,0.87611962890625,0.87611962890625,6,0.008800292968750068,1.51915869140625,1.51915869140625,6,0.01024023437499988,3.56155712890625,3.56155712890625,12,0.02947998046875,0.87539990234375,0.87539990234375,6,0.00924023437499999,1.87163720703125,1.87163720703125,12,0.028400878906249982,0.72807958984375,0.0,0,0.013559570312499991,1.4420400390625,0.0,0,0.019279785156250062,2.46567919921875,2.3945585937500002,5.4331943359375,7.827752929687501
224,60,10,160,"[160, 161, 162, 163, 164, 165, 166, 167]",0,0,39,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 4920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4920,1,4920,0,25384,9236,25383,6214,3,33867,0.41276123046875,0.41276123046875,1,0.0,0.16579931640625,0.0,0,0.010760253906249989,0.2448798828125,0.2448798828125,1,0.0,0.429080078125,0.429080078125,1,0.0,0.8839609375,0.8839609375,2,0.006439941406249927,0.245759765625,0.245759765625,1,0.0,0.44135986328125,0.44135986328125,2,0.006439941406250038,0.171759765625,0.0,0,0.009720214843749991,0.39895947265625,0.0,0,0.17392041015625004,0.6576411132812501,0.67483984375,1.32532080078125,2.00016064453125
224,60,10,160,"[160, 161, 162, 163, 164, 165, 166, 167]",0,1,40,"[0, 1, 0, 0, 4920, 0, 0, 2, 2995, 0, 0, 0, 0, 1724, 0, 0, 4042, 0, 0, 4434]",18118,7,4920,0,26081,9248,25383,4143,2,33867,1.69852099609375,1.69852099609375,7,0.019360351562500044,0.78732080078125,0.0,0,0.012840332031250012,0.9235595703125,0.9235595703125,7,0.013280273437499934,1.6878408203125,1.6878408203125,7,0.016760253906250133,3.8916015625,3.8916015625,14,0.03972021484374988,0.93276025390625,0.93276025390625,7,0.012879882812500076,2.0719619140625,2.0719619140625,14,0.036958984375000004,0.78828076171875,0.0,0,0.012560546875000078,1.55980078125,0.0,0,0.02047998046874988,2.62208056640625,2.62060107421875,5.9635634765625,8.58416455078125
