rank,pp_stage,phase,behavior,behavior_delta_ns
128,8,backward,cp_all_to_all,0
129,8,forward,cp_all_to_all,0
129,8,backward,cp_all_to_all,0
130,8,forward,cp_all_to_all,0
130,8,backward,cp_all_to_all,0
131,8,forward,cp_all_to_all,0
131,8,backward,cp_all_to_all,0
132,8,forward,cp_all_to_all,0
132,8,backward,cp_all_to_all,0
133,8,forward,cp_all_to_all,0
133,8,backward,cp_all_to_all,0
134,8,forward,cp_all_to_all,0
134,8,backward,cp_all_to_all,0
135,8,forward,cp_all_to_all,0
135,8,backward,cp_all_to_all,0
136,8,forward,cp_all_to_all,0
136,8,backward,cp_all_to_all,0
137,8,forward,cp_all_to_all,0
137,8,backward,cp_all_to_all,0
138,8,forward,cp_all_to_all,0
138,8,backward,cp_all_to_all,0
139,8,forward,cp_all_to_all,0
139,8,backward,cp_all_to_all,0
140,8,forward,cp_all_to_all,0
140,8,backward,cp_all_to_all,0
141,8,forward,cp_all_to_all,0
141,8,backward,cp_all_to_all,0
142,8,forward,cp_all_to_all,0
142,8,backward,cp_all_to_all,0
143,8,forward,cp_all_to_all,0
143,8,backward,cp_all_to_all,0
144,9,forward,cp_all_to_all,0
144,9,backward,cp_all_to_all,0
145,9,forward,cp_all_to_all,0
145,9,backward,cp_all_to_all,0
146,9,forward,cp_all_to_all,0
146,9,backward,cp_all_to_all,0
147,9,forward,cp_all_to_all,0
147,9,backward,cp_all_to_all,0
148,9,forward,cp_all_to_all,0
148,9,backward,cp_all_to_all,0
149,9,forward,cp_all_to_all,0
149,9,backward,cp_all_to_all,0
150,9,forward,cp_all_to_all,0
150,9,backward,cp_all_to_all,0
151,9,forward,cp_all_to_all,0
151,9,backward,cp_all_to_all,0
152,9,forward,cp_all_to_all,0
152,9,backward,cp_all_to_all,0
153,9,forward,cp_all_to_all,0
153,9,backward,cp_all_to_all,0
154,9,forward,cp_all_to_all,0
154,9,backward,cp_all_to_all,0
155,9,forward,cp_all_to_all,0
155,9,backward,cp_all_to_all,0
156,9,forward,cp_all_to_all,0
156,9,backward,cp_all_to_all,0
157,9,forward,cp_all_to_all,0
157,9,backward,cp_all_to_all,0
158,9,forward,cp_all_to_all,0
158,9,backward,cp_all_to_all,0
159,9,forward,cp_all_to_all,0
159,9,backward,cp_all_to_all,0
160,10,forward,cp_all_to_all,0
160,10,backward,cp_all_to_all,0
161,10,forward,cp_all_to_all,0
161,10,backward,cp_all_to_all,0
162,10,forward,cp_all_to_all,0
162,10,backward,cp_all_to_all,0
163,10,forward,cp_all_to_all,0
163,10,backward,cp_all_to_all,0
164,10,forward,cp_all_to_all,0
164,10,backward,cp_all_to_all,0
165,10,forward,cp_all_to_all,0
165,10,backward,cp_all_to_all,0
166,10,forward,cp_all_to_all,0
166,10,backward,cp_all_to_all,0
167,10,forward,cp_all_to_all,0
167,10,backward,cp_all_to_all,0
168,10,forward,cp_all_to_all,0
168,10,backward,cp_all_to_all,0
169,10,forward,cp_all_to_all,0
169,10,backward,cp_all_to_all,0
170,10,forward,cp_all_to_all,0
170,10,backward,cp_all_to_all,0
171,10,forward,cp_all_to_all,0
171,10,backward,cp_all_to_all,0
172,10,forward,cp_all_to_all,0
172,10,backward,cp_all_to_all,0
173,10,forward,cp_all_to_all,0
173,10,backward,cp_all_to_all,0
174,10,forward,cp_all_to_all,0
174,10,backward,cp_all_to_all,0
175,10,forward,cp_all_to_all,0
175,10,backward,cp_all_to_all,0
176,11,forward,cp_all_to_all,0
176,11,backward,cp_all_to_all,0
177,11,forward,cp_all_to_all,0
177,11,backward,cp_all_to_all,0
178,11,forward,cp_all_to_all,0
178,11,backward,cp_all_to_all,0
179,11,forward,cp_all_to_all,0
179,11,backward,cp_all_to_all,0
180,11,forward,cp_all_to_all,0
180,11,backward,cp_all_to_all,0
181,11,forward,cp_all_to_all,0
181,11,backward,cp_all_to_all,0
182,11,forward,cp_all_to_all,0
182,11,backward,cp_all_to_all,0
183,11,forward,cp_all_to_all,0
183,11,backward,cp_all_to_all,0
184,11,forward,cp_all_to_all,0
184,11,backward,cp_all_to_all,0
185,11,forward,cp_all_to_all,0
185,11,backward,cp_all_to_all,0
186,11,forward,cp_all_to_all,0
186,11,backward,cp_all_to_all,0
187,11,forward,cp_all_to_all,0
187,11,backward,cp_all_to_all,0
188,11,forward,cp_all_to_all,0
188,11,backward,cp_all_to_all,0
189,11,forward,cp_all_to_all,0
189,11,backward,cp_all_to_all,0
190,11,forward,cp_all_to_all,0
190,11,backward,cp_all_to_all,0
191,11,forward,cp_all_to_all,0
191,11,backward,cp_all_to_all,0
192,12,forward,cp_all_to_all,0
192,12,backward,cp_all_to_all,0
193,12,forward,cp_all_to_all,0
193,12,backward,cp_all_to_all,0
194,12,forward,cp_all_to_all,0
194,12,backward,cp_all_to_all,0
195,12,forward,cp_all_to_all,0
195,12,backward,cp_all_to_all,0
196,12,forward,cp_all_to_all,0
196,12,backward,cp_all_to_all,0
197,12,forward,cp_all_to_all,0
197,12,backward,cp_all_to_all,0
198,12,forward,cp_all_to_all,0
198,12,backward,cp_all_to_all,0
199,12,forward,cp_all_to_all,0
