iteration,rank,pp_stage,pp_lane,phase,microbatch,trace_duration_ns,adjusted_duration_ns,adjustment_ns
55,29,1,13,forward,3,326074928,214122026,-111952902
55,30,1,14,backward,0,724024929,498782847,-225242082
55,30,1,14,backward,1,727277032,501023230,-226253802
55,30,1,14,backward,2,723975230,498748609,-225226621
55,30,1,14,backward,3,726383803,500407882,-225975921
55,30,1,14,forward,0,323694294,211555486,-112138808
55,30,1,14,forward,1,327495287,214039684,-113455603
55,30,1,14,forward,2,342348735,223747388,-118601347
55,30,1,14,forward,3,325993802,213058365,-112935437
55,31,1,15,backward,0,722742326,497710584,-225031742
55,31,1,15,backward,1,725954529,499922642,-226031887
55,31,1,15,backward,2,725017541,499277393,-225740148
55,31,1,15,backward,3,727660960,501097761,-226563199
55,31,1,15,forward,0,322851890,210342858,-112509032
55,31,1,15,forward,1,326367804,212633528,-113734276
55,31,1,15,forward,2,340586585,221897278,-118689307
55,31,1,15,forward,3,323879473,211012343,-112867130
55,32,2,0,backward,0,713874991,488095658,-225779333
55,32,2,0,backward,1,708073448,484128986,-223944462
55,32,2,0,backward,2,708298114,484282597,-224015517
55,32,2,0,backward,3,702010904,479983861,-222027043
55,32,2,0,forward,0,320464416,218457841,-102006575
55,32,2,0,forward,1,322897802,220116659,-102781143
55,32,2,0,forward,2,463063797,315666614,-147397183
55,32,2,0,forward,3,317260240,216273582,-100986658
55,33,2,1,backward,0,714710164,488978899,-225731265
55,33,2,1,backward,1,708560055,484771216,-223788839
55,33,2,1,backward,2,708788739,484927674,-223861065
55,33,2,1,backward,3,702320883,480502600,-221818283
55,33,2,1,forward,0,321293857,219237704,-102056153
55,33,2,1,forward,1,322714683,220207218,-102507465
55,33,2,1,forward,2,463329480,316156968,-147172512
55,33,2,1,forward,3,317554962,216686436,-100868526
55,34,2,2,backward,0,714676006,491767604,-222908402
55,34,2,2,backward,1,708501772,487519122,-220982650
55,34,2,2,backward,2,708144580,487273338,-220871242
55,34,2,2,backward,3,703259386,483911843,-219347543
55,34,2,2,forward,0,321107652,220224687,-100882965
55,34,2,2,forward,1,322529796,221200034,-101329762
55,34,2,2,forward,2,462902700,317471732,-145430968
55,34,2,2,forward,3,317353091,217649703,-99703388
55,35,2,3,backward,0,712698562,490239835,-222458727
55,35,2,3,backward,1,708582526,487408561,-221173965
55,35,2,3,backward,2,708342108,487243187,-221098921
55,35,2,3,backward,3,702703290,483364445,-219338845
55,35,2,3,forward,0,321214981,220329958,-100885023
55,35,2,3,forward,1,322570051,221259437,-101310614
55,35,2,3,forward,2,463086946,317643738,-145443208
