iteration,rank,pp_stage,pp_lane,compute_ns,pipeline_wait_ns,predicted_first_compute_ns,predicted_backward_done_ns,front_envelope_ns,wait_share_pct,observed_first_compute_ns,observed_backward_done_ns,observed_front_envelope_ns,observed_local_gap_ns,unmodeled_local_gap_ns
55,10,0,10,2295299986,16120891133,0,18416191119,18416191119,87.53651082806185,1785477744809248162,1785477764893323371,20084075209,17788775223,1667884090
55,26,1,10,4217204162,13786512699,164961547,18003716861,17838755314,77.28405068811182,1785477744975303321,1785477764387139946,19411836625,15194632463,1408119764
55,42,2,10,4226489184,13046044279,492688220,17272533463,16779845243,77.74829916528807,1785477745303975728,1785477763561968364,18257992636,14031503452,985459173
55,58,3,10,4232652271,12329866773,841197962,16562519044,15721321082,78.42767607562561,1785477745652797168,1785477762759247089,17106449921,12873797650,543930877
55,74,4,10,4072866783,11791810931,1253571034,15864677714,14611106680,80.70443388891881,1785477746065809526,1785477761967711095,15901901569,11829034786,37223855
55,90,5,10,4167576986,10992988751,1576777735,15160565737,13583788002,80.92726969370734,1785477746389779126,1785477761170248551,14780469425,10612892439,-380096312
55,106,6,10,4064688932,10402762614,1896421894,14467451546,12571029652,82.75187396718106,1785477746710346449,1785477760383145375,13672798926,9608109994,-794652620
55,122,7,10,3992122878,9774257735,2217259869,13766380613,11549120744,84.6320507998665,1785477747031901549,1785477759588670517,12556768968,8564646090,-1209611645
55,138,8,10,4104069118,8975755779,2544675584,13079824897,10535149313,85.19818288597236,1785477747359948555,1785477758808960005,11449011450,7344942332,-1630813447
55,154,9,10,4119663626,8233187173,2864601802,12352850799,9488248997,86.7724611316922,1785477747680983451,1785477757989021815,10308038364,6188374738,-2044812435
55,170,10,10,4129672296,7497598444,3191405096,11627270740,8435865644,88.87764173120347,1785477748008549208,1785477757171001424,9162452216,5032779920,-2464818524
55,186,11,10,3955114649,6982986896,3509339796,10938101545,7428761749,93.99933840845001,1785477748327813460,1785477756389439284,8061625824,4106511175,-2876475721
55,202,12,10,3959024175,6287825290,3826647579,10246849465,6420201886,97.938124090947,1785477748645927740,1785477755605096581,6959168841,3000144666,-3287680624
55,218,13,10,4155318845,5410792348,4143545647,9566111193,5422565546,99.78288509562259,1785477748964031351,1785477754830937626,5866906275,1711587430,-3699204918
55,234,14,10,4074212860,4805387399,4463590746,8879600259,4416009513,108.8174150181003,1785477749285099158,1785477754050017964,4764918806,690705946,-4114681453
55,250,15,10,2269676068,5743064002,4790442684,8012740070,3222297386,178.22886326234322,1785477749613138660,1785477753084430664,3471292004,1201615936,-4541448066
55,11,0,11,2298076945,16119147455,0,18417224400,18417224400,87.52213202658268,1785477744809005006,1785477764893535045,20084530039,17786453094,1667305639
55,27,1,11,4222686762,13781476627,164958296,18004163389,17839205093,77.25387176813035,1785477744974513763,1785477764386961998,19412448235,15189761473,1408284846
55,43,2,11,4230869150,13042329326,493253975,17273198476,16779944501,77.7257000177965,1785477745303193725,1785477763562700415,18259506690,14028637540,986308214
55,59,3,11,4231612825,12331277076,842413548,16562889901,15720476353,78.44086145421906,1785477745652844424,1785477762758622210,17105777786,12874164961,542887885
55,75,4,11,4083476754,11782248551,1254781562,15865725305,14610943743,80.63988718486985,1785477746065785600,1785477761967633716,15901848116,11818371362,36122811
55,91,5,11,4166176165,10995422652,1578026507,15161598817,13583572310,80.94647270295276,1785477746389903246,1785477761170129242,14780225996,10614049831,-381372821
55,107,6,11,4068398445,10400188518,1897570296,14468586963,12571016667,82.73148300965498,1785477746710997668,1785477760383269213,13672271545,9603873100,-796315418
55,123,7,11,3990284063,9777988278,2217835494,13768272341,11550436847,84.6547053373106,1785477747032710611,1785477759589097934,12556387323,8566103260,-1211885018
55,139,8,11,4102104823,8979839541,2544504766,13081944364,10537439598,85.21842006766396,1785477747360112209,1785477758808931391,11448819182,7346714359,-1633125182
55,155,9,11,4115788495,8239251359,2864532018,12355039854,9490507836,86.8157057702049,1785477747681533670,1785477757988164055,10306630385,6190841890,-2048409469
55,171,10,11,4133639590,7500705676,3190830931,11634345266,8443514335,88.83393073554839,1785477748008487916,1785477757172044524,9163556608,5029917018,-2470788658
55,187,11,11,3952707555,6991557327,3508796311,10944264882,7435468571,94.02981480237366,1785477748327847866,1785477756388454725,8060606859,4107899304,-2883658023
