iteration,rank,pp_stage,pp_lane,predecessor_node_id,predicted_optimizer_ready_ns,next_node_contract,observed_backward_done_ns,observed_first_rs_start_ns,measured_tail_launch_lag_ns,predicted_first_rs_ready_ns
55,66,4,2,rank66:B3,15643428193,first_optimizer_collective_or_local_tail,1785477761784000526,1785477761918511228,134510702,15777938895
55,67,4,3,rank67:B3,15639169646,first_optimizer_collective_or_local_tail,1785477761785068779,1785477761918891866,133823087,15772992733
55,68,4,4,rank68:B3,15644015465,first_optimizer_collective_or_local_tail,1785477761783531263,1785477761918360591,134829328,15778844793
55,69,4,5,rank69:B3,15647007537,first_optimizer_collective_or_local_tail,1785477761784661198,1785477761918236118,133574920,15780582457
55,70,4,6,rank70:B3,15640475721,first_optimizer_collective_or_local_tail,1785477761784001966,1785477761920085473,136083507,15776559228
55,71,4,7,rank71:B3,15636756489,first_optimizer_collective_or_local_tail,1785477761783921820,1785477761919784541,135862721,15772619210
55,72,4,8,rank72:B3,15842786448,first_optimizer_collective_or_local_tail,1785477761968262521,1785477762075080914,106818393,15949604841
55,73,4,9,rank73:B3,15863302054,first_optimizer_collective_or_local_tail,1785477761968213298,1785477762074882617,106669319,15969971373
55,74,4,10,rank74:B3,15864677714,first_optimizer_collective_or_local_tail,1785477761967711095,1785477762074427238,106716143,15971393857
55,75,4,11,rank75:B3,15865725305,first_optimizer_collective_or_local_tail,1785477761967633716,1785477762074192120,106558404,15972283709
55,76,4,12,rank76:B3,15865063049,first_optimizer_collective_or_local_tail,1785477761967992908,1785477762074724190,106731282,15971794331
55,77,4,13,rank77:B3,15867644894,first_optimizer_collective_or_local_tail,1785477761967951084,1785477762074364583,106413499,15974058393
55,78,4,14,rank78:B3,15857832054,first_optimizer_collective_or_local_tail,1785477761968004914,1785477762074523852,106518938,15964350992
55,79,4,15,rank79:B3,15856852368,first_optimizer_collective_or_local_tail,1785477761968866545,1785477762074855817,105989272,15962841640
55,80,5,0,rank80:B3,14930297613,first_optimizer_collective_or_local_tail,1785477760982297642,1785477761099146055,116848413,15047146026
55,81,5,1,rank81:B3,14925697167,first_optimizer_collective_or_local_tail,1785477760981782014,1785477761096977652,115195638,15040892805
55,82,5,2,rank82:B3,14934525909,first_optimizer_collective_or_local_tail,1785477760981612412,1785477761096308060,114695648,15049221557
55,83,5,3,rank83:B3,14928330551,first_optimizer_collective_or_local_tail,1785477760981893066,1785477761096860220,114967154,15043297705
55,84,5,4,rank84:B3,14935632798,first_optimizer_collective_or_local_tail,1785477760981673972,1785477761095825794,114151822,15049784620
55,85,5,5,rank85:B3,14938091213,first_optimizer_collective_or_local_tail,1785477760982414557,1785477761095609523,113194966,15051286179
55,86,5,6,rank86:B3,14932396233,first_optimizer_collective_or_local_tail,1785477760981688637,1785477761096248624,114559987,15046956220
55,87,5,7,rank87:B3,14929007375,first_optimizer_collective_or_local_tail,1785477760982220747,1785477761096867170,114646423,15043653798
55,88,5,8,rank88:B3,15138605179,first_optimizer_collective_or_local_tail,1785477761170113291,1785477761276804757,106691466,15245296645
55,89,5,9,rank89:B3,15159142816,first_optimizer_collective_or_local_tail,1785477761171427010,1785477761276993300,105566290,15264709106
55,90,5,10,rank90:B3,15160565737,first_optimizer_collective_or_local_tail,1785477761170248551,1785477761276703618,106455067,15267020804
55,91,5,11,rank91:B3,15161598817,first_optimizer_collective_or_local_tail,1785477761170129242,1785477761276121527,105992285,15267591102
55,92,5,12,rank92:B3,15161287314,first_optimizer_collective_or_local_tail,1785477761170068420,1785477761277103348,107034928,15268322242
