iteration,node_id,kind,phase,microbatch,rank,pp_stage,pp_lane,src_rank,dst_rank,src_stage,dst_stage,sequence,region,duration_ns,network_service_ns,software_completion_ns,observed_start_ns,observed_end_ns,predicted_start_ns,predicted_end_ns,critical_predecessor,local_wait_ns
55,rank144:F1,compute,forward,1,144,9,0,144,144,9,9,1,warmup,318516907,0,0,1.7854777479134152e+18,1.7854777482319322e+18,3091002695,3409519602,lane0:F0:s9->s10,4712346
55,rank160:F0,compute,forward,0,160,10,0,160,160,10,10,0,warmup,320623663,0,0,1.785477747908641e+18,1.7854777482292646e+18,3091002695,3411626358,lane0:F0:s9->s10,3091002695
55,lane0:F2:s7->s8,pp_message,forward,2,-1,7,0,112,128,7,8,-1,p2p,4712346,4712346,0,,,3253778856,3258491202,rank112:F2,0
55,lane0:F3:s6->s7,pp_message,forward,3,-1,6,0,96,112,6,7,-1,p2p,4712346,4712346,0,,,3258371335,3263083681,rank96:F3,0
55,rank128:F2,compute,forward,2,128,8,0,128,128,8,8,2,warmup,311077784,0,0,1.7854777480841905e+18,1.7854777483952684e+18,3258491202,3569568986,lane0:F2:s7->s8,181742860
55,rank112:F3,compute,forward,3,112,7,0,112,112,7,7,3,warmup,340623741,0,0,1.7854777480938327e+18,1.7854777484344563e+18,3263083681,3603707422,lane0:F3:s6->s7,9304825
55,lane0:F1:s9->s10,pp_message,forward,1,-1,9,0,144,160,9,10,-1,p2p,4712346,4712346,0,,,3409519602,3414231948,rank144:F1,0
55,lane0:F0:s10->s11,pp_message,forward,0,-1,10,0,160,176,10,11,-1,p2p,4712346,4712346,0,,,3411626358,3416338704,rank160:F0,0
55,rank160:F1,compute,forward,1,160,10,0,160,160,10,10,1,warmup,325174307,0,0,1.7854777482392573e+18,1.7854777485644316e+18,3416338704,3741513011,lane0:F0:s10->s11,4712346
55,rank176:F0,compute,forward,0,176,11,0,176,176,11,11,0,warmup,311578821,0,0,1.785477748234844e+18,1.7854777485464225e+18,3416338704,3727917525,lane0:F0:s10->s11,3416338704
55,lane0:F2:s8->s9,pp_message,forward,2,-1,8,0,128,144,8,9,-1,p2p,4712346,4712346,0,,,3569568986,3574281332,rank128:F2,0
55,rank144:F2,compute,forward,2,144,9,0,144,144,9,9,2,warmup,318291397,0,0,1.7854777484003983e+18,1.7854777487186895e+18,3574281332,3892572729,lane0:F2:s8->s9,164761730
55,lane0:F3:s7->s8,pp_message,forward,3,-1,7,0,112,128,7,8,-1,p2p,4712346,4712346,0,,,3603707422,3608419768,rank112:F3,0
55,rank128:F3,compute,forward,3,128,8,0,128,128,8,8,3,warmup,310994744,0,0,1.7854777484396132e+18,1.785477748750608e+18,3608419768,3919414512,lane0:F3:s7->s8,38850782
55,lane0:F0:s11->s12,pp_message,forward,0,-1,11,0,176,192,11,12,-1,p2p,4712346,4712346,0,,,3727917525,3732629871,rank176:F0,0
55,rank192:F0,compute,forward,0,192,12,0,192,192,12,12,0,warmup,313173038,0,0,1.785477748551826e+18,1.785477748864999e+18,3732629871,4045802909,lane0:F0:s11->s12,3732629871
55,lane0:F1:s10->s11,pp_message,forward,1,-1,10,0,160,176,10,11,-1,p2p,4712346,4712346,0,,,3741513011,3746225357,rank160:F1,0
