variant,iteration,split,predicted_profiler_ms,actual_profiler_ms,profiler_error_ms,profiler_ape_pct,predicted_training_ms,actual_training_ms,training_error_ms,training_ape_pct,predicted_mfu_pct,actual_mfu_pct_derived,mfu_error_pp,mfu_relative_ape_pct,mfu_basis
v685_frozen,60,posthoc_60_80_diagnostic,21385.696422124995,22338.246915,-952.5504928750051,4.264213286295861,22758.149812124997,23997.9,-1239.750187875008,5.166077814621313,3.3098615149285155,3.138871493511105,0.1709900214174107,5.44749989831993,inherited FLOPs/peak and training clock; numerator not independently verified
v688_split_ensemble,65,posthoc_60_80_diagnostic,20591.468386625,22403.914934,-1812.4465473750024,8.089865332529218,21963.921776624997,24058.0,-2094.078223375007,8.704290561871339,3.4295480096954205,3.1310301859726555,0.298517823722765,9.534172652188287,inherited FLOPs/peak and training clock; numerator not independently verified
v688_full4_ensemble,65,posthoc_60_80_diagnostic,20661.973107875,22403.914934,-1741.941826125003,7.775167113679075,22034.426497875,24058.0,-2023.573502125004,8.411229121809809,3.418574303324601,3.1310301859726555,0.2875441173519455,9.183690359811074,inherited FLOPs/peak and training clock; numerator not independently verified
v688_split_ensemble,70,posthoc_60_80_diagnostic,20591.468386625,22875.110682,-2283.6422953750007,9.983087413745093,21963.921776624997,24534.6,-2570.678223375005,10.477767004047369,3.4295480096954205,3.07020795994759,0.3593400497478303,11.704094785617206,inherited FLOPs/peak and training clock; numerator not independently verified
v688_full4_ensemble,70,posthoc_60_80_diagnostic,20661.973107875,22875.110682,-2213.1375741250013,9.674871544409523,22034.426497875,24534.6,-2500.1735021250024,10.190398466349574,3.418574303324601,3.07020795994759,0.3483663433770108,11.34666927848619,inherited FLOPs/peak and training clock; numerator not independently verified
v688_split_ensemble,75,posthoc_60_80_diagnostic,20591.468386625,23424.71834,-2833.249953375001,12.095129223120477,21963.921776624997,25133.5,-3169.578223375007,12.610970312033768,3.4295480096954205,2.997048728355786,0.4324992813396346,14.430839153453087,inherited FLOPs/peak and training clock; numerator not independently verified
v688_full4_ensemble,75,posthoc_60_80_diagnostic,20661.973107875,23424.71834,-2762.745232125002,11.79414493709128,22034.426497875,25133.5,-3099.073502125004,12.330449408657785,3.418574303324601,2.997048728355786,0.4215255749688151,14.064688737979536,inherited FLOPs/peak and training clock; numerator not independently verified
v688_split_ensemble,80,posthoc_60_80_diagnostic,20591.468386625,23208.123683,-2616.655296375004,11.274738673905418,21963.921776624997,25317.7,-3353.778223375008,13.246772903443077,3.4295480096954205,2.975243573236516,0.4543044364589046,15.269487195789663,inherited FLOPs/peak and training clock; numerator not independently verified
v688_full4_ensemble,80,posthoc_60_80_diagnostic,20661.973107875,23208.123683,-2546.1505751250043,10.9709453892219,22034.426497875,25317.7,-3283.2735021250046,12.968292941795678,3.418574303324601,2.975243573236516,0.4433307300880851,14.900653313766275,inherited FLOPs/peak and training clock; numerator not independently verified
v688_split_ensemble,85,development_primary,20591.468386625,23817.504667,-3226.036280375003,13.54481221051167,21963.921776624997,25365.0,-3401.078223375007,13.408548091366082,3.4295480096954205,2.9696954154989217,0.4598525941964988,15.484840357583996,inherited FLOPs/peak and training clock; numerator not independently verified
v688_full4_ensemble,85,development_primary,20661.973107875,23817.504667,-3155.531559125004,13.248791606188302,22034.426497875,25365.0,-3330.573502125004,13.130587431992918,3.418574303324601,2.9696954154989217,0.4488788878256793,15.115317398645264,inherited FLOPs/peak and training clock; numerator not independently verified
v688_split_ensemble,90,development_primary,20591.468386625,23760.744538,-3169.276151375001,13.338286375270997,21963.921776624997,25502.0,-3538.078223375007,13.873728426692052,3.4295480096954205,2.9537418325672555,0.475806177128165,16.108590530223026,inherited FLOPs/peak and training clock; numerator not independently verified
v688_full4_ensemble,90,development_primary,20661.973107875,23760.744538,-3098.7714301250016,13.041558631166668,22034.426497875,25502.0,-3467.573502125004,13.597261007470015,3.418574303324601,2.9537418325672555,0.4648324707573454,15.737071724827576,inherited FLOPs/peak and training clock; numerator not independently verified
v688_split_ensemble,95,development_primary,20591.468386625,23900.237723,-3308.7693363750004,13.84408546359713,21963.921776624997,25439.3,-3475.378223375006,13.661453826854538,3.4295480096954205,2.961021891881072,0.4685261178143487,15.823122385518888,inherited FLOPs/peak and training clock; numerator not independently verified
v688_full4_ensemble,95,development_primary,20661.973107875,23900.237723,-3238.264615125001,13.549089564112204,22034.426497875,25439.3,-3404.873502125003,13.384305001022051,3.418574303324601,2.961021891881072,0.4575524114435292,15.452517007662388,inherited FLOPs/peak and training clock; numerator not independently verified
v688_split_ensemble,100,development_primary,20591.468386625,23961.906278,-3370.4378913750006,14.065817019197176,21963.921776624997,25656.3,-3692.378223375006,14.39170193432025,3.4295480096954205,2.935977682445643,0.4935703272497775,16.811106235611366,inherited FLOPs/peak and training clock; numerator not independently verified
v688_full4_ensemble,100,development_primary,20661.973107875,23961.906278,-3299.933170125001,13.771580323535233,22034.426497875,25656.3,-3621.873502125003,14.116897222612003,3.418574303324601,2.935977682445643,0.482596620878958,16.43733955351321,inherited FLOPs/peak and training clock; numerator not independently verified
