iteration,rank,pp_stage,pp_lane,predecessor_node_id,predicted_lane_origin_ns,predicted_backward_done_relative_ns,predicted_backward_done_ns,observed_backward_done_ns,observed_first_rs_start_ns,measured_tail_launch_lag_ns,predicted_start_ns
55,99,6,3,rank99:B3,1785477744811134701,14216538202,1785477759027672903,1785477760176105232,1785477760304224397,128119165,1785477759155792068
55,100,6,4,rank100:B3,1785477744808924105,14224142487,1785477759033066592,1785477760176204886,1785477760304652390,128447504,1785477759161514096
55,101,6,5,rank101:B3,1785477744808609781,14225988902,1785477759034598683,1785477760176861855,1785477760304761381,127899526,1785477759162498209
55,102,6,6,rank102:B3,1785477744808565246,14221079861,1785477759029645107,1785477760176112467,1785477760304590902,128478435,1785477759158123542
55,103,6,7,rank103:B3,1785477744808446696,14215817147,1785477759024263843,1785477760175806072,1785477760305169111,129363039,1785477759153626882
55,104,6,8,rank104:B3,1785477744808618037,14445928799,1785477759254546836,1785477760382928238,1785477760490397274,107469036,1785477759362015872
55,105,6,9,rank105:B3,1785477744808590481,14465080716,1785477759273671197,1785477760383818542,1785477760490374749,106556207,1785477759380227404
55,106,6,10,rank106:B3,1785477744809248162,14467451546,1785477759276699708,1785477760383145375,1785477760489780623,106635248,1785477759383334956
55,107,6,11,rank107:B3,1785477744809005006,14468586963,1785477759277591969,1785477760383269213,1785477760489924669,106655456,1785477759384247425
55,108,6,12,rank108:B3,1785477744809228982,14469318205,1785477759278547187,1785477760383543090,1785477760491116487,107573397,1785477759386120584
55,109,6,13,rank109:B3,1785477744808336642,14470918071,1785477759279254713,1785477760384883421,1785477760490010300,105126879,1785477759384381592
55,110,6,14,rank110:B3,1785477744808877140,14461340421,1785477759270217561,1785477760383862709,1785477760491001110,107138401,1785477759377355962
55,111,6,15,rank111:B3,1785477744809154297,14460168922,1785477759269323219,1785477760385215107,1785477760491316133,106101026,1785477759375424245
55,112,7,0,rank112:B3,1785477744809471652,13514629476,1785477758324101128,1785477759377716238,1785477759494614651,116898413,1785477758440999541
55,113,7,1,rank113:B3,1785477744808791856,13509646804,1785477758318438660,1785477759377483312,1785477759494678289,117194977,1785477758435633637
55,114,7,2,rank114:B3,1785477744808224865,13517977700,1785477758326202565,1785477759377725613,1785477759494777943,117052330,1785477758443254895
55,115,7,3,rank115:B3,1785477744811134701,13512049122,1785477758323183823,1785477759377760403,1785477759494778857,117018454,1785477758440202277
55,116,7,4,rank116:B3,1785477744808924105,13519166013,1785477758328090118,1785477759377892671,1785477759493127832,115235161,1785477758443325279
55,117,7,5,rank117:B3,1785477744808609781,13519005514,1785477758327615295,1785477759377846687,1785477759493313891,115467204,1785477758443082499
55,118,7,6,rank118:B3,1785477744808565246,13513713716,1785477758322278962,1785477759379930356,1785477759493565996,113635640,1785477758435914602
55,119,7,7,rank119:B3,1785477744808446696,13512863208,1785477758321309904,1785477759378509561,1785477759494405156,115895595,1785477758437205499
55,120,7,8,rank120:B3,1785477744808618037,13746528385,1785477758555146422,1785477759587993407,1785477759696276415,108283008,1785477758663429430
55,121,7,9,rank121:B3,1785477744808590481,13764597480,1785477758573187961,1785477759588811772,1785477759696316041,107504269,1785477758680692230
55,122,7,10,rank122:B3,1785477744809248162,13766380613,1785477758575628775,1785477759588670517,1785477759694902408,106231891,1785477758681860666
55,123,7,11,rank123:B3,1785477744809005006,13768272341,1785477758577277347,1785477759589097934,1785477759695912440,106814506,1785477758684091853
55,124,7,12,rank124:B3,1785477744809228982,13767458267,1785477758576687249,1785477759588368217,1785477759694557806,106189589,1785477758682876838
55,125,7,13,rank125:B3,1785477744808336642,13767635546,1785477758575972188,1785477759588444774,1785477759694697331,106252557,1785477758682224745
55,126,7,14,rank126:B3,1785477744808877140,13760016052,1785477758568893192,1785477759589057467,1785477759695797715,106740248,1785477758675633440
55,127,7,15,rank127:B3,1785477744809154297,13757939244,1785477758567093541,1785477759588534466,1785477759696041721,107507255,1785477758674600796
55,128,8,0,rank128:B3,1785477744809471652,12829982062,1785477757639453714,1785477758599591196,1785477758705816027,106224831,1785477757745678545
55,129,8,1,rank129:B3,1785477744808791856,12825047151,1785477757633839007,1785477758600259544,1785477758705986927,105727383,1785477757739566390
55,130,8,2,rank130:B3,1785477744808224865,12834056673,1785477757642281538,1785477758601563627,1785477758706666118,105102491,1785477757747384029
55,131,8,3,rank131:B3,1785477744811134701,12828019181,1785477757639153882,1785477758599332708,1785477758706578795,107246087,1785477757746399969
55,132,8,4,rank132:B3,1785477744808924105,12834102074,1785477757643026179,1785477758599117030,1785477758705465206,106348176,1785477757749374355
55,133,8,5,rank133:B3,1785477744808609781,12834065058,1785477757642674839,1785477758600005884,1785477758705965701,105959817,1785477757748634656
55,134,8,6,rank134:B3,1785477744808565246,12826165930,1785477757634731176,1785477758599070563,1785477758704979238,105908675,1785477757740639851
55,135,8,7,rank135:B3,1785477744808446696,12826951236,1785477757635397932,1785477758599926018,1785477758705539020,105613002,1785477757741010934
55,136,8,8,rank136:B3,1785477744808618037,13060696037,1785477757869314074,1785477758809177907,1785477758914810095,105632188,1785477757974946262
55,137,8,9,rank137:B3,1785477744808590481,13078259226,1785477757886849707,1785477758808955543,1785477758915402967,106447424,1785477757993297131
55,138,8,10,rank138:B3,1785477744809248162,13079824897,1785477757889073059,1785477758808960005,1785477758914888506,105928501,1785477757995001560
55,139,8,11,rank139:B3,1785477744809005006,13081944364,1785477757890949370,1785477758808931391,1785477758915735809,106804418,1785477757997753788
55,140,8,12,rank140:B3,1785477744809228982,13081599829,1785477757890828811,1785477758808754636,1785477758915232515,106477879,1785477757997306690
55,141,8,13,rank141:B3,1785477744808336642,13081698579,1785477757890035221,1785477758809218462,1785477758916011147,106792685,1785477757996827906
55,142,8,14,rank142:B3,1785477744808877140,13074752627,1785477757883629767,1785477758808718954,1785477758916665278,107946324,1785477757991576091
55,143,8,15,rank143:B3,1785477744809154297,13073230032,1785477757882384329,1785477758809077090,1785477758916495967,107418877,1785477757989803206
55,144,9,0,rank144:B3,1785477744809471652,12144151412,1785477756953623064,1785477757819984424,1785477757926694711,106710287,1785477757060333351
55,145,9,1,rank145:B3,1785477744808791856,12138463288,1785477756947255144,1785477757819539294,1785477757926396660,106857366,1785477757054112510
55,146,9,2,rank146:B3,1785477744808224865,12145840620,1785477756954065485,1785477757819591394,1785477757926235389,106643995,1785477757060709480
55,147,9,3,rank147:B3,1785477744811134701,12141911498,1785477756953046199,1785477757819710941,1785477757926224270,106513329,1785477757059559528
55,148,9,4,rank148:B3,1785477744808924105,12148267908,1785477756957192013,1785477757819816198,1785477757926156070,106339872,1785477757063531885
55,149,9,5,rank149:B3,1785477744808609781,12147400841,1785477756956010622,1785477757820254917,1785477757926172605,105917688,1785477757061928310
