iteration,node_id,source_model,kind,category,rank,pp_stage,pp_lane,microbatch,predicted_start_ns,predicted_end_ns,duration_ns,network_service_ns,software_completion_ns,group_key,dependency
55,opt:edp_ag1:round1:expert_dp_param_allgather_pg_1153:rank103,optimizer,optimizer_collective,edp_ag1,103,6,7,-1,1785477763523386145,1785477763576793382,53407237,0,0,expert_dp_param_allgather:pg=1153,same_rank_dp_ag1
55,opt:edp_ag1:round1:expert_dp_param_allgather_pg_1105:rank55,optimizer,optimizer_collective,edp_ag1,55,3,7,-1,1785477763524476187,1785477763576491487,52015300,0,0,expert_dp_param_allgather:pg=1105,same_rank_dp_ag1
55,opt:edp_ag1:round1:expert_dp_param_allgather_pg_1169:rank119,optimizer,optimizer_collective,edp_ag1,119,7,7,-1,1785477763525520740,1785477763578147764,52627024,0,0,expert_dp_param_allgather:pg=1169,same_rank_dp_ag1
55,opt:edp_ag1:round1:expert_dp_param_allgather_pg_1281:rank231,optimizer,optimizer_collective,edp_ag1,231,14,7,-1,1785477763536095219,1785477763589959308,53864089,0,0,expert_dp_param_allgather:pg=1281,same_rank_dp_ag1
55,rank8:F0,pipeline,compute,forward,8,0,8,0,1785477744808618037,1785477744969140753,160522716,0,0,,
55,lane8:F0:s0->s1,pipeline,pp_message,forward,-1,0,8,0,1785477744969140753,1785477744973853099,4712346,4712346,0,,rank8:F0
55,rank24:F0,pipeline,compute,forward,24,1,8,0,1785477744973853099,1785477745297931144,324078045,0,0,,lane8:F0:s0->s1
55,rank8:F1,pipeline,compute,forward,8,0,8,1,1785477744973853099,1785477745132299410,158446311,0,0,,lane8:F0:s0->s1
55,lane8:F1:s0->s1,pipeline,pp_message,forward,-1,0,8,1,1785477745132299410,1785477745137011756,4712346,4712346,0,,rank8:F1
55,rank8:F2,pipeline,compute,forward,8,0,8,2,1785477745137011756,1785477745293974693,156962937,0,0,,lane8:F1:s0->s1
55,lane8:F2:s0->s1,pipeline,pp_message,forward,-1,0,8,2,1785477745293974693,1785477745298687039,4712346,4712346,0,,rank8:F2
55,lane8:F0:s1->s2,pipeline,pp_message,forward,-1,1,8,0,1785477745297931144,1785477745302643490,4712346,4712346,0,,rank24:F0
55,rank8:F3,pipeline,compute,forward,8,0,8,3,1785477745298687039,1785477745459632774,160945735,0,0,,lane8:F2:s0->s1
55,rank24:F1,pipeline,compute,forward,24,1,8,1,1785477745302643490,1785477745628984755,326341265,0,0,,lane8:F0:s1->s2
55,rank40:F0,pipeline,compute,forward,40,2,8,0,1785477745302643490,1785477745645707560,343064070,0,0,,lane8:F0:s1->s2
55,lane8:F3:s0->s1,pipeline,pp_message,forward,-1,0,8,3,1785477745459632774,1785477745464345120,4712346,4712346,0,,rank8:F3
55,lane8:F1:s1->s2,pipeline,pp_message,forward,-1,1,8,1,1785477745628984755,1785477745633697101,4712346,4712346,0,,rank24:F1
55,rank24:F2,pipeline,compute,forward,24,1,8,2,1785477745633697101,1785477745958681945,324984844,0,0,,lane8:F1:s1->s2
55,lane8:F0:s2->s3,pipeline,pp_message,forward,-1,2,8,0,1785477745645707560,1785477745650419906,4712346,4712346,0,,rank40:F0
55,rank40:F1,pipeline,compute,forward,40,2,8,1,1785477745650419906,1785477745969954353,319534447,0,0,,lane8:F0:s2->s3
55,rank56:F0,pipeline,compute,forward,56,3,8,0,1785477745650419906,1785477746041384248,390964342,0,0,,lane8:F0:s2->s3
55,lane8:F2:s1->s2,pipeline,pp_message,forward,-1,1,8,2,1785477745958681945,1785477745963394291,4712346,4712346,0,,rank24:F2
55,rank24:F3,pipeline,compute,forward,24,1,8,3,1785477745963394291,1785477746288224983,324830692,0,0,,lane8:F2:s1->s2
55,lane8:F1:s2->s3,pipeline,pp_message,forward,-1,2,8,1,1785477745969954353,1785477745974666699,4712346,4712346,0,,rank40:F1
55,rank40:F2,pipeline,compute,forward,40,2,8,2,1785477745974666699,1785477746293393602,318726903,0,0,,lane8:F1:s2->s3
55,lane8:F0:s3->s4,pipeline,pp_message,forward,-1,3,8,0,1785477746041384248,1785477746046096594,4712346,4712346,0,,rank56:F0
