scenario_id,omitted_source_stages,retained_source_stages,target_world_size,target_pp_size,target_lanes,predicted_profiler_step_ms,predicted_training_log_ms,predicted_mfu_pct,profiler_step_delta_vs_256_ms,profiler_step_delta_vs_256_pct,mfu_relative_delta_vs_256_pct,pp_front_predicted_ms_p50,first_rs_offset_ms,last_ag_offset_ms,compute_route_scale_min,compute_route_scale_p50,compute_route_scale_max,clamped_negative_dependency_lags,fallback_dependencies,dp_ag0_payload_service_scale,dp_ag1_payload_service_scale,dp_rs_payload_service_scale,edp_ag0_payload_service_scale,edp_ag1_payload_service_scale,edp_rs_payload_service_scale
omit_02_07,"2,7","0,1,3,4,5,6,8,9,10,11,12,13,14,15",224,14,16,21873.921234,23175.925809,3.2501969860845157,257.68540700000085,1.1920919491363868,-26.31090762514806,20213.689649,9974.280147,21844.382434,1.1411672328363847,1.152603652866847,1.1854920058394718,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_02_08,"2,8","0,1,3,4,5,6,7,9,10,11,12,13,14,15",224,14,16,21875.651851,23177.656426,3.249954302093776,259.4160239999983,1.2000980470243228,-26.316409803350826,20211.2339035,9969.435964,21846.113051,1.1425333650542715,1.153329470847337,1.185533172423815,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_02_09,"2,9","0,1,3,4,5,6,7,8,10,11,12,13,14,15",224,14,16,21876.65757,23178.662145,3.249813287018345,260.42174299999897,1.2047506563317434,-26.31960692431431,20214.4642115,9975.235139,21847.11877,1.1427397676048305,1.154705627566179,1.187656767131454,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_02_10,"2,10","0,1,3,4,5,6,7,8,9,11,12,13,14,15",224,14,16,21889.658895,23191.66347,3.2479914306953392,273.42306800000006,1.2648967664318223,-26.360912401937508,20219.266901,9968.515189,21860.120095,1.1410556307837791,1.1524528949812827,1.1925426259349896,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_02_11,"2,11","0,1,3,4,5,6,7,8,9,10,12,13,14,15",224,14,16,21873.89519,23175.899765,3.250200638504968,257.65936299999885,1.1919714656247749,-26.310824816767752,20210.212098,9965.339238,21844.35639,1.1404630229398267,1.1520331969900601,1.184980400186457,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_02_12,"2,12","0,1,3,4,5,6,7,8,9,10,11,13,14,15",224,14,16,21869.632354,23171.636929,3.2507985708966882,253.3965270000008,1.1722509368790934,-26.297268378362315,20207.957137,9967.16453,21840.093554,1.1402814643108952,1.151867446135137,1.1859659094104114,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_02_13,"2,13","0,1,3,4,5,6,7,8,9,10,11,12,14,15",224,14,16,21872.483125,23174.4877,3.25039867932572,256.2472979999984,1.1854390378177149,-26.306334797117604,20208.330755,9964.145469,21842.944325,1.150557425856715,1.152767714288467,1.1854336991030747,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_02_14,"2,14","0,1,3,4,5,6,7,8,9,10,11,12,13,15",224,14,16,21841.523903,23143.528478,3.2547467550479423,225.28807600000073,1.042216960450637,-26.207754386478033,20199.2540805,9958.742637,21811.985157,1.1415113024275791,1.1529621141957076,1.1849966572053654,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_02_15,"2,15","0,1,3,4,5,6,7,8,9,10,11,12,13,14",224,14,16,22080.86735,23382.871925,3.22143167253952,464.631523,2.1494562083729907,-26.96308035685757,20385.3164985,10585.266249,22051.32855,1.1109655246280894,1.117008399890526,1.1521179952644587,0,0,1.1607310244897229,1.1607310244897229,1.1607310244897229,1.1132075471698113,1.1132075471698113,1.1132075471698113
omit_03_04,"3,4","0,1,2,5,6,7,8,9,10,11,12,13,14,15",224,14,16,21872.555578,23174.560153,3.2503885172715554,256.3197509999991,1.1857742164333773,-26.30656519316783,20215.1590075,9976.160145,21843.016778,1.1459556129704407,1.1539122684262388,1.173311713495703,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_03_05,"3,5","0,1,2,4,6,7,8,9,10,11,12,13,14,15",224,14,16,21868.850666,23170.855241,3.2509082392799593,252.61483899999803,1.168634729107021,-26.29478195564392,20212.599819,9977.551214,21839.311866,1.1468370985939598,1.154889110197912,1.1924865710624424,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_03_06,"3,6","0,1,2,4,5,7,8,9,10,11,12,13,14,15",224,14,16,21870.790091,23172.794666,3.2506361576082052,254.5542639999985,1.1776068046132515,-26.30095064373551,20214.727719,9977.111585,21841.251291,1.1460370863755347,1.1540341013516182,1.1726792559329586,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_03_07,"3,7","0,1,2,4,5,6,8,9,10,11,12,13,14,15",224,14,16,21868.059154,23170.063729,3.2510192934795676,251.82332699999824,1.1649730740143749,-26.292264113430484,20213.0814865,9977.630868,21838.520354,1.1445484510040949,1.1517123710418593,1.1744205412590965,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_03_08,"3,8","0,1,2,4,5,6,7,9,10,11,12,13,14,15",224,14,16,21871.376277,23173.380852,3.2505539306159994,255.14044999999896,1.1803185903501046,-26.30281490994778,20211.0148625,9972.73157,21841.837477,1.1446795403326848,1.153348653024163,1.1724560184858936,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_03_09,"3,9","0,1,2,4,5,6,7,8,10,11,12,13,14,15",224,14,16,21872.367384,23174.371959,3.2504149129649402,256.1315570000006,1.184903602319487,-26.305966744921005,20214.123121,9978.544248,21842.828584,1.1465641748808248,1.1541336913348137,1.1744798304454072,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_03_10,"3,10","0,1,2,4,5,6,7,8,9,11,12,13,14,15",224,14,16,21887.96063,23189.965205,3.248229290050378,271.724803000001,1.2570403338244551,-26.355519608805047,20220.3497185,9971.70181,21858.42183,1.1487647603414213,1.1531249282809535,1.1867815384436273,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
