iteration,pp_stage,rank,behavior,kind,round,group_key,group_size,start_ns,end_ns,group_first_start_ns,group_ready_ns,group_end_ns,arrival_wait_ns,service_ns,completion_advance_ns,observed_ranks,payload_bytes
5,0,2,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1047,2,1785476681052493376,1785476681065958348,1785476681052493376,1785476681052568881,1785476681065995202,75505,13426321,36854,2,471859200
5,0,10,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1047,2,1785476681052568881,1785476681065995202,1785476681052493376,1785476681052568881,1785476681065995202,0,13426321,0,2,471859200
5,0,3,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1049,2,1785476681052533387,1785476681068135456,1785476681052506574,1785476681052533387,1785476681068141286,0,15607899,5830,2,471859200
5,0,11,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1049,2,1785476681052506574,1785476681068141286,1785476681052506574,1785476681052533387,1785476681068141286,26813,15607899,0,2,471859200
5,0,4,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1051,2,1785476681052487229,1785476681065828862,1785476681052487229,1785476681052608524,1785476681065836064,121295,13227540,7202,2,471859200
5,0,12,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1051,2,1785476681052608524,1785476681065836064,1785476681052487229,1785476681052608524,1785476681065836064,0,13227540,0,2,471859200
5,0,5,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1053,2,1785476681052465822,1785476681065973145,1785476681052465822,1785476681052560592,1785476681065974594,94770,13414002,1449,2,471859200
5,0,13,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1053,2,1785476681052560592,1785476681065974594,1785476681052465822,1785476681052560592,1785476681065974594,0,13414002,0,2,471859200
5,0,6,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1055,2,1785476681052553924,1785476681068253114,1785476681052542151,1785476681052553924,1785476681068291458,0,15737534,38344,2,471859200
5,0,14,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1055,2,1785476681052542151,1785476681068291458,1785476681052542151,1785476681052553924,1785476681068291458,11773,15737534,0,2,471859200
5,0,7,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1057,2,1785476681052533791,1785476681066920907,1785476681052533791,1785476681052542590,1785476681066955762,8799,14413172,34855,2,471859200
5,0,15,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1057,2,1785476681052542590,1785476681066955762,1785476681052533791,1785476681052542590,1785476681066955762,0,14413172,0,2,471859200
5,0,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1043,2,1785476680899432464,1785476680953820451,1785476680899332947,1785476680899432464,1785476680953820451,0,54387987,0,2,1887436800
5,0,8,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1043,2,1785476680899332947,1785476680953798147,1785476680899332947,1785476680899432464,1785476680953820451,99517,54387987,22304,2,1887436800
5,0,1,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1045,2,1785476680899398947,1785476680952285211,1785476680899367570,1785476680899398947,1785476680952285211,0,52886264,0,2,1887436800
5,0,9,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1045,2,1785476680899367570,1785476680952264085,1785476680899367570,1785476680899398947,1785476680952285211,31377,52886264,21126,2,1887436800
5,0,2,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1047,2,1785476680899376555,1785476680953603142,1785476680899376555,1785476680899399786,1785476680953603142,23231,54203356,0,2,1887436800
5,0,10,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1047,2,1785476680899399786,1785476680953594922,1785476680899376555,1785476680899399786,1785476680953603142,0,54203356,8220,2,1887436800
5,0,3,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1049,2,1785476680899513298,1785476680952545646,1785476680899502785,1785476680899513298,1785476680952545646,0,53032348,0,2,1887436800
5,0,11,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1049,2,1785476680899502785,1785476680952541169,1785476680899502785,1785476680899513298,1785476680952545646,10513,53032348,4477,2,1887436800
5,0,4,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1051,2,1785476680899464039,1785476680953405842,1785476680899373472,1785476680899464039,1785476680953469459,0,54005420,63617,2,1887436800
5,0,12,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1051,2,1785476680899373472,1785476680953469459,1785476680899373472,1785476680899464039,1785476680953469459,90567,54005420,0,2,1887436800
5,0,5,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1053,2,1785476680899503501,1785476680951424344,1785476680899312477,1785476680899503501,1785476680951490303,0,51986802,65959,2,1887436800
5,0,13,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1053,2,1785476680899312477,1785476680951490303,1785476680899312477,1785476680899503501,1785476680951490303,191024,51986802,0,2,1887436800
5,0,6,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1055,2,1785476680899459474,1785476680951675669,1785476680899346187,1785476680899459474,1785476680951692287,0,52232813,16618,2,1887436800
5,0,14,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1055,2,1785476680899346187,1785476680951692287,1785476680899346187,1785476680899459474,1785476680951692287,113287,52232813,0,2,1887436800
5,0,7,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1057,2,1785476680899391010,1785476680955816791,1785476680899391010,1785476680899509364,1785476680955816791,118354,56307427,0,2,1887436800
5,0,15,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1057,2,1785476680899509364,1785476680955793923,1785476680899391010,1785476680899509364,1785476680955816791,0,56307427,22868,2,1887436800
5,1,16,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=3,16,1785476680994618971,1785476681002698299,1785476680994338914,1785476680994901733,1785476681002699806,282762,7798073,1507,16,98621440
5,1,17,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=3,16,1785476680994713916,1785476681002696181,1785476680994338914,1785476680994901733,1785476681002699806,187817,7798073,3625,16,98621440
5,1,18,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=3,16,1785476680994578148,1785476681002676106,1785476680994338914,1785476680994901733,1785476681002699806,323585,7798073,23700,16,98621440
5,1,19,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=3,16,1785476680994679516,1785476681002699806,1785476680994338914,1785476680994901733,1785476681002699806,222217,7798073,0,16,98621440
5,1,20,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=3,16,1785476680994515830,1785476681002698500,1785476680994338914,1785476680994901733,1785476681002699806,385903,7798073,1306,16,98621440
5,1,21,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=3,16,1785476680994706904,1785476681002651980,1785476680994338914,1785476680994901733,1785476681002699806,194829,7798073,47826,16,98621440
5,1,22,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=3,16,1785476680994821123,1785476681002677519,1785476680994338914,1785476680994901733,1785476681002699806,80610,7798073,22287,16,98621440
5,1,23,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=3,16,1785476680994901733,1785476681002662477,1785476680994338914,1785476680994901733,1785476681002699806,0,7798073,37329,16,98621440
5,1,24,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=3,16,1785476680994442396,1785476681002637947,1785476680994338914,1785476680994901733,1785476681002699806,459337,7798073,61859,16,98621440
5,1,25,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=3,16,1785476680994814989,1785476681002671322,1785476680994338914,1785476680994901733,1785476681002699806,86744,7798073,28484,16,98621440
5,1,26,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=3,16,1785476680994500916,1785476681002642694,1785476680994338914,1785476680994901733,1785476681002699806,400817,7798073,57112,16,98621440
5,1,27,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=3,16,1785476680994833177,1785476681002657848,1785476680994338914,1785476680994901733,1785476681002699806,68556,7798073,41958,16,98621440
5,1,28,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=3,16,1785476680994380479,1785476681002665230,1785476680994338914,1785476680994901733,1785476681002699806,521254,7798073,34576,16,98621440
5,1,29,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=3,16,1785476680994462925,1785476681002620624,1785476680994338914,1785476680994901733,1785476681002699806,438808,7798073,79182,16,98621440
5,1,30,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=3,16,1785476680994338914,1785476681002621719,1785476680994338914,1785476680994901733,1785476681002699806,562819,7798073,78087,16,98621440
5,1,31,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=3,16,1785476680994667191,1785476681002642933,1785476680994338914,1785476680994901733,1785476681002699806,234542,7798073,56873,16,98621440
5,1,16,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=3,16,1785476681142585516,1785476681159483181,1785476681142585516,1785476681152161420,1785476681159548536,9575904,7387116,65355,16,98621440
5,1,17,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=3,16,1785476681151743229,1785476681159487054,1785476681142585516,1785476681152161420,1785476681159548536,418191,7387116,61482,16,98621440
5,1,18,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=3,16,1785476681144601628,1785476681159463779,1785476681142585516,1785476681152161420,1785476681159548536,7559792,7387116,84757,16,98621440
5,1,19,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=3,16,1785476681145100205,1785476681159548536,1785476681142585516,1785476681152161420,1785476681159548536,7061215,7387116,0,16,98621440
5,1,20,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=3,16,1785476681148137887,1785476681159517450,1785476681142585516,1785476681152161420,1785476681159548536,4023533,7387116,31086,16,98621440
5,1,21,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=3,16,1785476681144522013,1785476681159481844,1785476681142585516,1785476681152161420,1785476681159548536,7639407,7387116,66692,16,98621440
5,1,22,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=3,16,1785476681145962220,1785476681159487572,1785476681142585516,1785476681152161420,1785476681159548536,6199200,7387116,60964,16,98621440
5,1,23,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=3,16,1785476681143200641,1785476681159508132,1785476681142585516,1785476681152161420,1785476681159548536,8960779,7387116,40404,16,98621440
5,1,24,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=3,16,1785476681143136064,1785476681159486125,1785476681142585516,1785476681152161420,1785476681159548536,9025356,7387116,62411,16,98621440
5,1,25,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=3,16,1785476681152161420,1785476681159491153,1785476681142585516,1785476681152161420,1785476681159548536,0,7387116,57383,16,98621440
5,1,26,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=3,16,1785476681143890798,1785476681159484711,1785476681142585516,1785476681152161420,1785476681159548536,8270622,7387116,63825,16,98621440
5,1,27,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=3,16,1785476681143899982,1785476681159484242,1785476681142585516,1785476681152161420,1785476681159548536,8261438,7387116,64294,16,98621440
5,1,28,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=3,16,1785476681147633113,1785476681159489758,1785476681142585516,1785476681152161420,1785476681159548536,4528307,7387116,58778,16,98621440
5,1,29,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=3,16,1785476681144403797,1785476681159481351,1785476681142585516,1785476681152161420,1785476681159548536,7757623,7387116,67185,16,98621440
