iteration,rank,pp_stage,pp_lane,phase,microbatch,observed_start_ns,observed_end_ns,duration_ns
55,60,3,12,backward,1,1785477760112831857,1785477760810111050,697279193
55,60,3,12,backward,2,1785477761222716955,1785477761917122141,694405186
55,60,3,12,backward,3,1785477762066421831,1785477762759933176,693511345
55,76,4,12,forward,0,1785477746065788387,1785477746384290114,318501727
55,76,4,12,forward,1,1785477746428481037,1785477746746636345,318155308
55,76,4,12,forward,2,1785477746776338027,1785477747093325291,316987264
55,76,4,12,forward,3,1785477747228856749,1785477747558837365,329980616
55,76,4,12,backward,0,1785477758209047889,1785477758909890686,700842797
55,76,4,12,backward,1,1785477759314632802,1785477760014091680,699458878
55,76,4,12,backward,2,1785477760424306425,1785477761123704207,699397782
55,76,4,12,backward,3,1785477761268929519,1785477761967992908,699063389
55,92,5,12,forward,0,1785477746389829193,1785477746704668279,314839086
55,92,5,12,forward,1,1785477746751800207,1785477747213298670,461498463
55,92,5,12,forward,2,1785477747223492763,1785477747547913646,324420883
55,92,5,12,forward,3,1785477747564054994,1785477747876268231,312213237
55,92,5,12,backward,0,1785477757419337968,1785477758109621583,690283615
55,92,5,12,backward,1,1785477758528455552,1785477759216347397,687891845
55,92,5,12,backward,2,1785477759636649144,1785477760325285999,688636855
55,92,5,12,backward,3,1785477760482811657,1785477761170068420,687256763
55,108,6,12,forward,0,1785477746710243656,1785477747026577085,316333429
55,108,6,12,forward,1,1785477747218359614,1785477747546230670,327871056
55,108,6,12,forward,2,1785477747556520206,1785477747886782911,330262705
55,108,6,12,forward,3,1785477747896948126,1785477748211449628,314501502
55,108,6,12,backward,0,1785477756621818964,1785477757320529680,698710716
55,108,6,12,backward,1,1785477757734752178,1785477758430032780,695280602
55,108,6,12,backward,2,1785477758841855117,1785477759537825916,695970799
55,108,6,12,backward,3,1785477759686395498,1785477760383543090,697147592
55,124,7,12,forward,0,1785477747032191314,1785477747354653237,322461923
55,124,7,12,forward,1,1785477747551504115,1785477747862769971,311265856
55,124,7,12,forward,2,1785477747891954869,1785477748201455774,309500905
55,124,7,12,forward,3,1785477748216610976,1785477748526117892,309506916
55,124,7,12,backward,0,1785477755838505791,1785477756523509435,685003644
55,124,7,12,backward,1,1785477756949928358,1785477757636428996,686500638
55,124,7,12,backward,2,1785477758058474547,1785477758743366099,684891552
55,124,7,12,backward,3,1785477758907222125,1785477759588368217,681146092
55,140,8,12,forward,0,1785477747360016956,1785477747675305212,315288256
55,140,8,12,forward,1,1785477747867855942,1785477748184674692,316818750
55,140,8,12,forward,2,1785477748206548956,1785477748518384621,311835665
55,140,8,12,forward,3,1785477748531189545,1785477748841136572,309947027
55,140,8,12,backward,0,1785477755021216840,1785477755741051654,719834814
