iteration,rank,pp_stage,pp_lane,api_name,occurrence,observed_start_ns,observed_end_ns,duration_ns
55,176,11,0,send_backward,1,1785477754339152012,1785477754434551768,95399756
55,176,11,0,recv_backward,2,1785477754434643269,1785477754760171257,325527988
55,176,11,0,send_backward,2,1785477755444776188,1785477755539674620,94898432
55,176,11,0,recv_backward,3,1785477755539777530,1785477755545001244,5223714
55,176,11,0,send_backward,3,1785477756224498080,1785477756322638166,98140086
55,192,12,0,recv_forward,0,1785477744808458634,1785477748551741616,3743282982
55,192,12,0,send_forward,0,1785477748865033832,1785477748870135455,5101623
55,192,12,0,recv_forward,1,1785477748870265532,1785477748890550001,20284469
55,192,12,0,send_forward,1,1785477749198238177,1785477749203299748,5061571
55,192,12,0,recv_forward,2,1785477749203487755,1785477749377446903,173959148
55,192,12,0,send_forward,2,1785477749690198628,1785477749695248407,5049779
55,192,12,0,recv_forward,3,1785477749695381653,1785477749707441999,12060346
55,192,12,0,send_forward_recv_backward,0,1785477750017322636,1785477751770990195,1753667559
55,192,12,0,send_backward,0,1785477752451695733,1785477752551153638,99457905
55,192,12,0,recv_backward,0,1785477752551214218,1785477752873785506,322571288
55,192,12,0,send_backward,1,1785477753553269740,1785477753653087353,99817613
55,192,12,0,recv_backward,1,1785477753653169618,1785477753979675140,326505522
55,192,12,0,send_backward,2,1785477754660421221,1785477754760019403,99598182
55,192,12,0,recv_backward,2,1785477754760104219,1785477754765327956,5223737
55,192,12,0,send_backward,3,1785477755443094930,1785477755544994346,101899416
55,208,13,0,recv_forward,0,1785477744810043543,1785477748870984620,4060941077
55,208,13,0,send_forward,0,1785477749186276014,1785477749191504749,5228735
55,208,13,0,recv_forward,1,1785477749191629431,1785477749203320859,11691428
55,208,13,0,send_forward,1,1785477749512901724,1785477749519229817,6328093
55,208,13,0,recv_forward,2,1785477749519411273,1785477749695318592,175907319
55,208,13,0,send_forward_recv_backward,0,1785477750006509348,1785477750983444498,976935150
55,208,13,0,send_backward_recv_forward,0,1785477751673159975,1785477751770913534,97753559
55,208,13,0,send_forward_recv_backward,1,1785477752084448616,1785477752090130358,5681742
55,208,13,0,send_backward,0,1785477752776178130,1785477752873734857,97556727
55,208,13,0,recv_backward,0,1785477752873790016,1785477753190544044,316754028
55,208,13,0,send_backward,1,1785477753881578822,1785477753979655980,98077158
55,208,13,0,recv_backward,1,1785477753979721497,1785477753984878019,5156522
55,208,13,0,send_backward,2,1785477754666172929,1785477754765316009,99143080
55,224,14,0,recv_forward,0,1785477744812468697,1785477749192855147,4380386450
55,224,14,0,send_forward,0,1785477749508506866,1785477749513924400,5417534
55,224,14,0,recv_forward,1,1785477749514115282,1785477749519261172,5145890
55,224,14,0,send_forward_recv_backward,0,1785477749827905764,1785477750176927231,349021467
55,224,14,0,send_backward_recv_forward,0,1785477750884794967,1785477750983215246,98420279
55,224,14,0,send_forward_recv_backward,1,1785477751293184657,1785477751298891077,5706420
55,224,14,0,send_backward_recv_forward,1,1785477751977961935,1785477752090147465,112185530
55,224,14,0,send_forward_recv_backward,2,1785477752399089140,1785477752404937037,5847897
55,224,14,0,send_backward,0,1785477753091798892,1785477753190632983,98834091
55,224,14,0,recv_backward,0,1785477753191002729,1785477753196482249,5479520
55,224,14,0,send_backward,1,1785477753882041511,1785477753984913269,102871758
55,240,15,0,recv_forward,0,1785477744808249705,1785477749514360597,4706110892
55,240,15,0,send_forward_recv_backward,0,1785477749709197599,1785477749709238184,40585
55,240,15,0,send_backward_recv_forward,0,1785477750077089873,1785477750176871239,99781366
55,240,15,0,send_forward_recv_backward,1,1785477750370335723,1785477750370366062,30339
55,240,15,0,send_backward_recv_forward,1,1785477750736230398,1785477751298874674,562644276
55,240,15,0,send_forward_recv_backward,2,1785477751489723514,1785477751489757338,33824
55,240,15,0,send_backward_recv_forward,2,1785477751855798793,1785477752404997251,549198458
55,240,15,0,send_forward_recv_backward,3,1785477752594770577,1785477752594803278,32701
55,240,15,0,send_backward,0,1785477752965154389,1785477753196463387,231308998
55,1,0,1,recv_forward,0,1785477744808734756,1785477744808771639,36883
55,1,0,1,send_forward,0,1785477744971175439,1785477744976299184,5123745
55,1,0,1,recv_forward,1,1785477744976431402,1785477744976463789,32387
55,1,0,1,send_forward,1,1785477745134896271,1785477745311888655,176992384
55,1,0,1,recv_forward,2,1785477745312029194,1785477745312060713,31519
55,1,0,1,send_forward,2,1785477745470911143,1785477745649090680,178179537
55,1,0,1,recv_forward,3,1785477745649208421,1785477745649239347,30926
55,1,0,1,send_forward,3,1785477745807372647,1785477745984050603,176677956
55,1,0,1,recv_backward,0,1785477745984194841,1785477761329142186,15344947345
55,1,0,1,send_backward,0,1785477761743147549,1785477761743183193,35644
55,1,0,1,recv_backward,1,1785477761743261577,1785477762436699682,693438105
55,1,0,1,send_backward,1,1785477762846290755,1785477762846342686,51931
55,1,0,1,recv_backward,2,1785477762846435168,1785477763540408551,693973383
55,1,0,1,send_backward,2,1785477763949881849,1785477763949917987,36138
55,1,0,1,recv_backward,3,1785477763949986852,1785477764367148105,417161253
55,1,0,1,send_backward,3,1785477764773242149,1785477764773275234,33085
55,17,1,1,recv_forward,0,1785477744808360035,1785477744976329519,167969484
55,17,1,1,send_forward,0,1785477745301890951,1785477745306902113,5011162
55,17,1,1,recv_forward,1,1785477745307013533,1785477745311895652,4882119
55,17,1,1,send_forward,1,1785477745639066961,1785477745644089066,5022105
55,17,1,1,recv_forward,2,1785477745644223029,1785477745649121128,4898099
55,17,1,1,send_forward,2,1785477745973907442,1785477745978927995,5020553
55,17,1,1,recv_forward,3,1785477745979062417,1785477745984065599,5003182
55,17,1,1,send_forward,3,1785477746306670953,1785477746452474776,145803823
55,17,1,1,recv_backward,0,1785477746452639412,1785477760505824601,14053185189
55,17,1,1,send_backward,0,1785477761229962983,1785477761328329114,98366131
55,17,1,1,recv_backward,1,1785477761328452182,1785477761612840208,284388026
55,17,1,1,send_backward,1,1785477762339411380,1785477762436674235,97262855
55,17,1,1,recv_backward,2,1785477762436770953,1785477762712820516,276049563
55,17,1,1,send_backward,2,1785477763442063775,1785477763540410251,98346476
55,17,1,1,recv_backward,3,1785477763540501912,1785477763545697410,5195498
55,17,1,1,send_backward,3,1785477764269407992,1785477764367108927,97700935
55,33,2,1,recv_forward,0,1785477744808904977,1785477745307009518,498104541
55,33,2,1,send_forward,0,1785477745628367023,1785477745633459456,5092433
55,33,2,1,recv_forward,1,1785477745633570235,1785477745644150103,10579868
55,33,2,1,send_forward,1,1785477745966909947,1785477745972008895,5098948
55,33,2,1,recv_forward,2,1785477745972185982,1785477745978953511,6767529
55,33,2,1,send_forward,2,1785477746442325146,1785477746447396846,5071700
55,33,2,1,recv_forward,3,1785477746447511179,1785477746452462038,4950859
55,33,2,1,send_forward,3,1785477746770058330,1785477746775168303,5109973
55,33,2,1,recv_backward,0,1785477746775283769,1785477759692363025,12917079256
55,33,2,1,send_backward,0,1785477760407288485,1785477760505566888,98278403
55,33,2,1,recv_backward,1,1785477760505774882,1785477760805930942,300156060
55,33,2,1,send_backward,1,1785477761514639933,1785477761612825235,98185302
55,33,2,1,recv_backward,2,1785477761612914773,1785477761905301385,292386612
55,33,2,1,send_backward,2,1785477762614236833,1785477762712678321,98441488
55,33,2,1,recv_backward,3,1785477762712773246,1785477762727044248,14271002
55,33,2,1,send_backward,3,1785477763429474440,1785477763545719636,116245196
55,49,3,1,recv_forward,0,1785477744809156457,1785477745633551563,824395106
55,49,3,1,send_forward,0,1785477745951033133,1785477745956166514,5133381
55,49,3,1,recv_forward,1,1785477745956278579,1785477745971995468,15716889
55,49,3,1,send_forward,1,1785477746286214654,1785477746302020222,15805568
55,49,3,1,recv_forward,2,1785477746302193190,1785477746447438473,145245283
55,49,3,1,send_forward,2,1785477746762740855,1785477746767875806,5134951
55,49,3,1,recv_forward,3,1785477746767984090,1785477746775187200,7203110
55,49,3,1,send_forward,3,1785477747109126189,1785477747114250522,5124333
55,49,3,1,recv_backward,0,1785477747114362237,1785477758883423074,11769060837
55,49,3,1,send_backward,0,1785477759593299685,1785477759691341688,98042003
55,49,3,1,recv_backward,1,1785477759691453992,1785477760003612039,312158047
55,49,3,1,send_backward,1,1785477760707142069,1785477760805824430,98682361
55,49,3,1,recv_backward,2,1785477760805912105,1785477761083817700,277905595
55,49,3,1,send_backward,2,1785477761807799506,1785477761905269101,97469595
55,49,3,1,recv_backward,3,1785477761905442277,1785477761910671007,5228730
55,49,3,1,send_backward,3,1785477762628914366,1785477762727015374,98101008
55,65,4,1,recv_forward,0,1785477744809678562,1785477745956383754,1146705192
55,65,4,1,send_forward,0,1785477746291815915,1785477746296914279,5098364
55,65,4,1,recv_forward,1,1785477746297031493,1785477746302110316,5078823
55,65,4,1,send_forward,1,1785477746619479338,1785477746624546536,5067198
55,65,4,1,recv_forward,2,1785477746624730434,1785477746768111015,143380581
55,65,4,1,send_forward,2,1785477747083802182,1785477747088822861,5020679
55,65,4,1,recv_forward,3,1785477747088936361,1785477747114339165,25402804
55,65,4,1,send_forward,3,1785477747427764566,1785477747451821641,24057075
55,65,4,1,recv_backward,0,1785477747451932912,1785477758085965959,10634033047
55,65,4,1,send_backward,0,1785477758785049104,1785477758882333022,97283918
55,65,4,1,recv_backward,1,1785477758882403544,1785477759205678132,323274588
55,65,4,1,send_backward,1,1785477759903729353,1785477760003567652,99838299
55,65,4,1,recv_backward,2,1785477760003625884,1785477760290659310,287033426
55,65,4,1,send_backward,2,1785477760984373158,1785477761083733382,99360224
55,65,4,1,recv_backward,3,1785477761083796964,1785477761088888709,5091745
55,65,4,1,send_backward,3,1785477761783795159,1785477761910710982,126915823
55,81,5,1,recv_forward,0,1785477744808835436,1785477746297270098,1488434662
55,81,5,1,send_forward,0,1785477746612484657,1785477746617530493,5045836
55,81,5,1,recv_forward,1,1785477746617644315,1785477746624566699,6922384
55,81,5,1,send_forward,1,1785477746937718008,1785477746946566361,8848353
55,81,5,1,recv_forward,2,1785477746946761376,1785477747089136008,142374632
55,81,5,1,send_forward,2,1785477747441580159,1785477747446640687,5060528
55,81,5,1,recv_forward,3,1785477747446761517,1785477747451767362,5005845
55,81,5,1,send_forward,3,1785477747764411454,1785477747773161112,8749658
55,81,5,1,recv_backward,0,1785477747773300367,1785477757280000321,9506699954
55,81,5,1,send_backward,0,1785477757987347853,1785477758085638430,98290577
55,81,5,1,recv_backward,1,1785477758085770010,1785477758402639345,316869335
55,81,5,1,send_backward,1,1785477759107042371,1785477759205614140,98571769
55,81,5,1,recv_backward,2,1785477759205695997,1785477759481159872,275463875
55,81,5,1,send_backward,2,1785477760192438073,1785477760290581667,98143594
55,81,5,1,recv_backward,3,1785477760290660392,1785477760295816591,5156199
55,81,5,1,send_backward,3,1785477760981840995,1785477761088829802,106988807
55,97,6,1,recv_forward,0,1785477744809841134,1785477746618381419,1808540285
55,97,6,1,send_forward,0,1785477746936224106,1785477746941451669,5227563
55,97,6,1,recv_forward,1,1785477746941592054,1785477746946600667,5008613
55,97,6,1,send_forward,1,1785477747263170939,1785477747268625751,5454812
55,97,6,1,recv_forward,2,1785477747268828637,1785477747446768733,177940096
55,97,6,1,send_forward,2,1785477747762960194,1785477747768099460,5139266
55,97,6,1,recv_forward,3,1785477747768228788,1785477747773192506,4963718
55,97,6,1,send_forward,3,1785477748088708018,1785477748093734047,5026029
55,97,6,1,recv_backward,0,1785477748093861162,1785477756478019742,8384158580
55,97,6,1,send_backward,0,1785477757179808494,1785477757279407518,99599024
55,97,6,1,recv_backward,1,1785477757279524407,1785477757583406161,303881754
55,97,6,1,send_backward,1,1785477758303509915,1785477758402558829,99048914
55,97,6,1,recv_backward,2,1785477758402671576,1785477758686486135,283814559
55,97,6,1,send_backward,2,1785477759381875806,1785477759480784069,98908263
55,97,6,1,recv_backward,3,1785477759480890777,1785477759486255282,5364505
55,97,6,1,send_backward,3,1785477760175816067,1785477760295815444,119999377
55,113,7,1,recv_forward,0,1785477744808956635,1785477746941644434,2132687799
55,113,7,1,send_forward,0,1785477747258454308,1785477747263483253,5028945
55,113,7,1,recv_forward,1,1785477747263610220,1785477747268687056,5076836
55,113,7,1,send_forward,1,1785477747581195151,1785477747587096906,5901755
55,113,7,1,recv_forward,2,1785477747587275079,1785477747768178948,180903869
55,113,7,1,send_forward,2,1785477748078875178,1785477748083911106,5035928
55,113,7,1,recv_forward,3,1785477748084028383,1785477748093794595,9766212
55,113,7,1,send_forward,3,1785477748434481792,1785477748439531828,5050036
55,113,7,1,recv_backward,0,1785477748439648458,1785477755698361967,7258713509
55,113,7,1,send_backward,0,1785477756378433931,1785477756477281622,98847691
55,113,7,1,recv_backward,1,1785477756477383871,1785477756800332332,322948461
55,113,7,1,send_backward,1,1785477757484692487,1785477757583357511,98665024
55,113,7,1,recv_backward,2,1785477757583447893,1785477757904959673,321511780
55,113,7,1,send_backward,2,1785477758588393302,1785477758686341876,97948574
55,113,7,1,recv_backward,3,1785477758686432509,1785477758697556837,11124328
55,113,7,1,send_backward,3,1785477759377540267,1785477759486253713,108713446
55,129,8,1,recv_forward,0,1785477744811154427,1785477747263721386,2452566959
55,129,8,1,send_forward,0,1785477747576971482,1785477747582022091,5050609
55,129,8,1,recv_forward,1,1785477747582133756,1785477747587129115,4995359
55,129,8,1,send_forward,1,1785477747898410687,1785477747913037969,14627282
55,129,8,1,recv_forward,2,1785477747913204602,1785477748083991740,170787138
55,129,8,1,send_forward,2,1785477748395060433,1785477748400072285,5011852
55,129,8,1,recv_forward,3,1785477748400168308,1785477748439563047,39394739
55,129,8,1,send_forward,3,1785477748750530414,1785477748755588032,5057618
55,129,8,1,recv_backward,0,1785477748755719183,1785477754911852311,6156133128
55,129,8,1,send_backward,0,1785477755600141912,1785477755698069086,97927174
55,129,8,1,recv_backward,1,1785477755698171287,1785477756008554786,310383499
55,129,8,1,send_backward,1,1785477756702967773,1785477756800356326,97388553
55,129,8,1,recv_backward,2,1785477756800458673,1785477757117061490,316602817
55,129,8,1,send_backward,2,1785477757807504202,1785477757904894598,97390396
55,129,8,1,recv_backward,3,1785477757904978848,1785477757918349559,13370711
55,129,8,1,send_backward,3,1785477758600356766,1785477758697571103,97214337
55,145,9,1,recv_forward,0,1785477744808546216,1785477747582118764,2773572548
55,145,9,1,send_forward,0,1785477747903084030,1785477747908000203,4916173
55,145,9,1,recv_forward,1,1785477747908108293,1785477747913049126,4940833
