iteration,rank,pp_stage,pp_lane,predecessor_node_id,predicted_lane_origin_ns,predicted_backward_done_relative_ns,predicted_backward_done_ns,observed_backward_done_ns,observed_first_rs_start_ns,measured_tail_launch_lag_ns,predicted_start_ns
55,84,5,4,rank84:B3,1785477744808924105,16150662770,1785477760959586875,1785477760981673972,1785477761095825794,114151822,1785477761073738697
55,85,5,5,rank85:B3,1785477744808609781,16153121185,1785477760961730966,1785477760982414557,1785477761095609523,113194966,1785477761074925932
55,86,5,6,rank86:B3,1785477744808565246,16147426205,1785477760955991451,1785477760981688637,1785477761096248624,114559987,1785477761070551438
55,87,5,7,rank87:B3,1785477744808446696,16144037347,1785477760952484043,1785477760982220747,1785477761096867170,114646423,1785477761067130466
55,88,5,8,rank88:B3,1785477744808618037,16316299056,1785477761124917093,1785477761170113291,1785477761276804757,106691466,1785477761231608559
55,89,5,9,rank89:B3,1785477744808590481,16335903625,1785477761144494106,1785477761171427010,1785477761276993300,105566290,1785477761250060396
55,90,5,10,rank90:B3,1785477744809248162,16339025889,1785477761148274051,1785477761170248551,1785477761276703618,106455067,1785477761254729118
55,91,5,11,rank91:B3,1785477744809005006,16340971178,1785477761149976184,1785477761170129242,1785477761276121527,105992285,1785477761255968469
55,92,5,12,rank92:B3,1785477744809228982,16338997714,1785477761148226696,1785477761170068420,1785477761277103348,107034928,1785477761255261624
55,93,5,13,rank93:B3,1785477744808336642,16340658842,1785477761148995484,1785477761170080119,1785477761276728842,106648723,1785477761255644207
55,94,5,14,rank94:B3,1785477744808877140,16330009827,1785477761138886967,1785477761170724109,1785477761276907181,106183072,1785477761245070039
55,95,5,15,rank95:B3,1785477744809154297,16330380770,1785477761139535067,1785477761170145500,1785477761276533306,106387806,1785477761245922873
55,96,6,0,rank96:B3,1785477744809471652,15340321080,1785477760149792732,1785477760175889677,1785477760305299233,129409556,1785477760279202288
55,97,6,1,rank97:B3,1785477744808791856,15334975307,1785477760143767163,1785477760175716787,1785477760304391256,128674469,1785477760272441632
55,98,6,2,rank98:B3,1785477744808224865,15344503436,1785477760152728301,1785477760175986558,1785477760304445348,128458790,1785477760281187091
55,99,6,3,rank99:B3,1785477744811134701,15338104330,1785477760149239031,1785477760176105232,1785477760304224397,128119165,1785477760277358196
55,100,6,4,rank100:B3,1785477744808924105,15345708615,1785477760154632720,1785477760176204886,1785477760304652390,128447504,1785477760283080224
55,101,6,5,rank101:B3,1785477744808609781,15347555030,1785477760156164811,1785477760176861855,1785477760304761381,127899526,1785477760284064337
55,102,6,6,rank102:B3,1785477744808565246,15342645989,1785477760151211235,1785477760176112467,1785477760304590902,128478435,1785477760279689670
55,103,6,7,rank103:B3,1785477744808446696,15337383275,1785477760145829971,1785477760175806072,1785477760305169111,129363039,1785477760275193010
55,104,6,8,rank104:B3,1785477744808618037,15530158832,1785477760338776869,1785477760382928238,1785477760490397274,107469036,1785477760446245905
55,105,6,9,rank105:B3,1785477744808590481,15548377681,1785477760356968162,1785477760383818542,1785477760490374749,106556207,1785477760463524369
55,106,6,10,rank106:B3,1785477744809248162,15552447854,1785477760361696016,1785477760383145375,1785477760489780623,106635248,1785477760468331264
55,107,6,11,rank107:B3,1785477744809005006,15554495480,1785477760363500486,1785477760383269213,1785477760489924669,106655456,1785477760470155942
55,108,6,12,rank108:B3,1785477744809228982,15553564761,1785477760362793743,1785477760383543090,1785477760491116487,107573397,1785477760470367140
55,109,6,13,rank109:B3,1785477744808336642,15554518395,1785477760362855037,1785477760384883421,1785477760490010300,105126879,1785477760467981916
55,110,6,14,rank110:B3,1785477744808877140,15544024504,1785477760352901644,1785477760383862709,1785477760491001110,107138401,1785477760460040045
