request_id,first_release_ns,last_release_ns,last_flow_end_ns,collective_elapsed_ns,arrival_span_ns,tail_after_last_release_ns,network_tail_after_last_release_ns,trace_calibration_residual_ns,software_residual_ns,simulator_bias_correction_ns,rank_network_done_offsets_ns,source,simulator_commit,topology_hash
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1105:rel-829f5273926a,0,790550,212769591,212769591,790550,211979041,79834571,132144470,132144470,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp4:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1107:rel-77c8c73fc956,0,46232,204507553,204507553,46232,204461321,79834571,124626750,124626750,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp4:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1109:rel-c70223e2b6b7,0,450524,191252450,191252450,450524,190801926,79834571,110967355,110967355,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp4:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1111:rel-58b33f6f2575,0,388816,207698328,207698328,388816,207309512,79834571,127474941,127474941,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp4:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1113:rel-e67f9f67a293,0,1903185,207822880,207822880,1903185,205919695,79834571,126085124,126085124,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp4:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1115:rel-936c215fab74,0,68270,214150630,214150630,68270,214082360,79834571,134247789,134247789,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp4:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1117:rel-e55d5ece25fe,0,229393,207816645,207816645,229393,207587252,79834571,127752681,127752681,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp4:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1119:rel-471c9b77ddf5,0,496644,190101572,190101572,496644,189604928,79834571,109770357,109770357,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp4:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1121:rel-f5a6ac27ea88,0,33116,220240602,220240602,33116,220207486,79834571,140372915,140372915,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp5:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1123:rel-933bd5a3ebea,0,219139,192470544,192470544,219139,192251405,79834571,112416834,112416834,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp5:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1125:rel-a237cac76a9e,0,340689,207234172,207234172,340689,206893483,79834571,127058912,127058912,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp5:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1127:rel-e53d5db49ca7,0,73725,210885683,210885683,73725,210811958,79834571,130977387,130977387,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp5:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1129:rel-9c7f8d60da35,0,448066,212663285,212663285,448066,212215219,79834571,132380648,132380648,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp5:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1131:rel-b0a1e6db3da3,0,127816,207331953,207331953,127816,207204137,79834571,127369566,127369566,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp5:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1133:rel-7be2df09c0c0,0,143421,211824191,211824191,143421,211680770,79834571,131846199,131846199,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp5:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1135:rel-6837080682fb,0,510969,208551571,208551571,510969,208040602,79834571,128206031,128206031,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp5:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1137:rel-767db1c7b6a8,0,310641,219403336,219403336,310641,219092695,79834571,139258124,139258124,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp6:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1139:rel-d42e4641fe01,0,104296,220078064,220078064,104296,219973768,79834571,140139197,140139197,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
