iteration,pp_stage,behavior,kind,round,group_key,group_size,observed_ranks,actual_first_start_ns,actual_ready_ns,actual_end_ns,predicted_first_start_ns,predicted_ready_ns,predicted_end_ns,baseline_service_ns,predicted_service_ns,fct_group_id,fct_request_id,fct_source,oisa_collective_elapsed_ns,oisa_tail_after_last_release_ns,predicted_collective_elapsed_ns,completion_model,dependency_lag_ns_min,dependency_lag_ns_max,payload_bytes,actual_arrival_skew_ns,predicted_arrival_skew_ns,actual_group_fct_ns,predicted_group_fct_ns
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1055,2,2,1785477764939992139,1785477764940057857,1785477764996506427,1785477764918132350,1785477764918198068,1785477764974646638,56448570,56448570,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1055,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1055:rel-f1d65da828a2,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,56514288,56448570,56514288,trace_group_end_lag_clamped,4881018,4899381,1887436800.0,65718,65718,56514288,56514288
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1057,2,2,1785477764939948843,1785477764940120618,1785477764988301970,1785477764918089054,1785477764918260829,1785477764966442181,48181352,48181352,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1057,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1057:rel-69f287cc15be,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,48353127,48181352,48353127,trace_group_end_lag_clamped,4790855,4937776,1887436800.0,171775,171775,48353127,48353127
55,1,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=3,16,16,1785477765025421845,1785477765026731264,1785477765034387481,1785477765003562056,1785477765004871475,1785477765012527692,7656217,7656217,iter55:pp1:dp_ag0:round0:dp_param_allgather:pg=3,iter55:pp1:dp_ag0:round0:dp_param_allgather:pg=3:rel-6c71aeec094e,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,8965636,7656217,8965636,trace_group_end_lag_clamped,28745588,30055007,98621440.0,1309419,1309419,8965636,8965636
55,1,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=3,16,16,1785477765173108621,1785477765181842624,1785477765189167813,1785477765151248832,1785477765159982835,1785477765167308024,7325189,7325189,iter55:pp1:dp_ag1:round1:dp_param_allgather:pg=3,iter55:pp1:dp_ag1:round1:dp_param_allgather:pg=3:rel-5d9a29c5ba2b,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,16059192,7325189,16059192,trace_group_end_lag_clamped,86088487,88506835,98621440.0,8734003,8734003,16059192,16059192
55,1,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=3,16,16,1785477764374804854,1785477764495891676,1785477764511535011,1785477764341406489,1785477764472857090,1785477764488500425,15643335,15643335,iter55:pp1:dp_rs:round0:dp_grad_reduce_scatter:pg=3,iter55:pp1:dp_rs:round0:dp_grad_reduce_scatter:pg=3:rel-e285e1ed3259,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,147093936,15643335,147093936,trace_group_end_lag_clamped,0,0,3155886080.0,121086822,131450601,136730157,147093936
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1059,2,2,1785477765034375290,1785477765034385545,1785477765088913055,1785477765012515501,1785477765012525756,1785477765067053266,54527510,54527510,iter55:pp1:edp_ag0:round0:expert_dp_param_allgather:pg=1059,iter55:pp1:edp_ag0:round0:expert_dp_param_allgather:pg=1059:rel-cc60a5310cc1,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_param_allgather_g43_slot1,54537765,54527510,54537765,trace_group_end_lag_clamped,10681,38681,1887436800.0,10255,10255,54537765,54537765
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1061,2,2,1785477765034356786,1785477765034390895,1785477765088439750,1785477765012496997,1785477765012531106,1785477765066579961,54048855,54048855,iter55:pp1:edp_ag0:round0:expert_dp_param_allgather:pg=1061,iter55:pp1:edp_ag0:round0:expert_dp_param_allgather:pg=1061:rel-ec7d9f048ff6,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_param_allgather_g43_slot1,54082964,54048855,54082964,trace_group_end_lag_clamped,10720,32040,1887436800.0,34109,34109,54082964,54082964
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1063,2,2,1785477765034328876,1785477765034400841,1785477765086969498,1785477765012469087,1785477765012541052,1785477765065109709,52568657,52568657,iter55:pp1:edp_ag0:round0:expert_dp_param_allgather:pg=1063,iter55:pp1:edp_ag0:round0:expert_dp_param_allgather:pg=1063:rel-caeba63cfc85,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_param_allgather_g43_slot1,52640622,52568657,52640622,trace_group_end_lag_clamped,12840,13360,1887436800.0,71965,71965,52640622,52640622
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1065,2,2,1785477765034365573,1785477765034392193,1785477765090062258,1785477765012505784,1785477765012532404,1785477765068202469,55670065,55670065,iter55:pp1:edp_ag0:round0:expert_dp_param_allgather:pg=1065,iter55:pp1:edp_ag0:round0:expert_dp_param_allgather:pg=1065:rel-f92ed78f7ef1,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_param_allgather_g43_slot1,55696685,55670065,55696685,trace_group_end_lag_clamped,11400,25160,1887436800.0,26620,26620,55696685,55696685
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1067,2,2,1785477765034327461,1785477765034394760,1785477765088697130,1785477765012467672,1785477765012534971,1785477765066837341,54302370,54302370,iter55:pp1:edp_ag0:round0:expert_dp_param_allgather:pg=1067,iter55:pp1:edp_ag0:round0:expert_dp_param_allgather:pg=1067:rel-c96b3db4e3f4,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_param_allgather_g43_slot1,54369669,54302370,54369669,trace_group_end_lag_clamped,10711,11640,1887436800.0,67299,67299,54369669,54369669
