iteration,node_id,kind,phase,microbatch,rank,pp_stage,pp_lane,src_rank,dst_rank,src_stage,dst_stage,sequence,region,duration_ns,trace_duration_ns,embedded_collective_adjustment_ns,network_service_ns,software_completion_ns,observed_start_ns,observed_end_ns,predicted_relative_start_ns,predicted_relative_end_ns,critical_predecessor,local_wait_ns,predicted_lane_origin_ns,predicted_start_ns,predicted_end_ns
55,rank23:F3,compute,forward,3,23,1,7,23,23,1,1,3,warmup,322200004,322200004,0,0,0,1.7854777459843333e+18,1.7854777463065334e+18,1158947271,1481147275,lane7:F2:s1->s2,4712346,1785477744808446696,1785477745967393967,1785477746289593971
55,rank39:F2,compute,forward,2,39,2,7,39,39,2,2,2,warmup,463087700,463087700,0,0,0,1.7854777459793152e+18,1.785477746442403e+18,1158947271,1622034971,lane7:F2:s1->s2,6791537,1785477744808446696,1785477745967393967,1785477746430481667
55,lane7:F1:s3->s4,pp_message,forward,1,-1,3,7,55,71,3,4,-1,p2p,4712346,0,0,4712346,0,,,1471281500,1475993846,rank55:F1,0,1785477744808446696,1785477746279728196,1785477746284440542
55,lane7:F3:s1->s2,pp_message,forward,3,-1,1,7,23,39,1,2,-1,p2p,4712346,0,0,4712346,0,,,1481147275,1485859621,rank23:F3,0,1785477744808446696,1785477746289593971,1785477746294306317
55,lane7:F0:s4->s5,pp_message,forward,0,-1,4,7,71,87,4,5,-1,p2p,4712346,0,0,4712346,0,,,1481172532,1485884878,rank71:F0,0,1785477744808446696,1785477746289619228,1785477746294331574
55,rank71:F1,compute,forward,1,71,4,7,71,71,4,4,1,warmup,317012606,317012606,0,0,0,1.7854777463028037e+18,1.7854777466198164e+18,1485884878,1802897484,lane7:F0:s4->s5,4712346,1785477744808446696,1785477746294331574,1785477746611344180
55,rank87:F0,compute,forward,0,87,5,7,87,87,5,5,0,warmup,314743240,314743240,0,0,0,1.7854777462976686e+18,1.7854777466124116e+18,1485884878,1800628118,lane7:F0:s4->s5,1485884878,1785477744808446696,1785477746294331574,1785477746609074814
55,lane7:F2:s2->s3,pp_message,forward,2,-1,2,7,39,55,2,3,-1,p2p,4712346,0,0,4712346,0,,,1622034971,1626747317,rank39:F2,0,1785477744808446696,1785477746430481667,1785477746435194013
55,rank39:F3,compute,forward,3,39,2,7,39,39,2,2,3,warmup,317177844,317177844,0,0,0,1.7854777464527619e+18,1.7854777467699397e+18,1626747317,1943925161,lane7:F2:s2->s3,4712346,1785477744808446696,1785477746435194013,1785477746752371857
55,rank55:F2,compute,forward,2,55,3,7,55,55,3,3,2,warmup,315358224,315358224,0,0,0,1.7854777464475523e+18,1.7854777467629105e+18,1626747317,1942105541,lane7:F2:s2->s3,155465817,1785477744808446696,1785477746435194013,1785477746750552237
55,lane7:F0:s5->s6,pp_message,forward,0,-1,5,7,87,103,5,6,-1,p2p,4712346,0,0,4712346,0,,,1800628118,1805340464,rank87:F0,0,1785477744808446696,1785477746609074814,1785477746613787160
55,lane7:F1:s4->s5,pp_message,forward,1,-1,4,7,71,87,4,5,-1,p2p,4712346,0,0,4712346,0,,,1802897484,1807609830,rank71:F1,0,1785477744808446696,1785477746611344180,1785477746616056526
55,rank103:F0,compute,forward,0,103,6,7,103,103,6,6,0,warmup,318034304,318034304,0,0,0,1.7854777466180626e+18,1.785477746936097e+18,1805340464,2123374768,lane7:F0:s5->s6,1805340464,1785477744808446696,1785477746613787160,1785477746931821464
55,rank87:F1,compute,forward,1,87,5,7,87,87,5,5,1,warmup,312569415,312569415,0,0,0,1.785477746625084e+18,1.7854777469376535e+18,1807609830,2120179245,lane7:F1:s4->s5,6981712,1785477744808446696,1785477746616056526,1785477746928625941
55,lane7:F2:s3->s4,pp_message,forward,2,-1,3,7,55,71,3,4,-1,p2p,4712346,0,0,4712346,0,,,1942105541,1946817887,rank55:F2,0,1785477744808446696,1785477746750552237,1785477746755264583
55,lane7:F3:s2->s3,pp_message,forward,3,-1,2,7,39,55,2,3,-1,p2p,4712346,0,0,4712346,0,,,1943925161,1948637507,rank39:F3,0,1785477744808446696,1785477746752371857,1785477746757084203
55,rank71:F2,compute,forward,2,71,4,7,71,71,4,4,2,warmup,316091985,316091985,0,0,0,1.7854777467681743e+18,1.7854777470842662e+18,1946817887,2262909872,lane7:F2:s3->s4,143920403,1785477744808446696,1785477746755264583,1785477747071356568
55,rank55:F3,compute,forward,3,55,3,7,55,55,3,3,3,warmup,334144418,334144418,0,0,0,1.7854777467750653e+18,1.7854777471092099e+18,1948637507,2282781925,lane7:F3:s2->s3,6531966,1785477744808446696,1785477746757084203,1785477747091228621
55,lane7:F1:s5->s6,pp_message,forward,1,-1,5,7,87,103,5,6,-1,p2p,4712346,0,0,4712346,0,,,2120179245,2124891591,rank87:F1,0,1785477744808446696,1785477746928625941,1785477746933338287
55,lane7:F0:s6->s7,pp_message,forward,0,-1,6,7,103,119,6,7,-1,p2p,4712346,0,0,4712346,0,,,2123374768,2128087114,rank103:F0,0,1785477744808446696,1785477746931821464,1785477746936533810
55,rank103:F1,compute,forward,1,103,6,7,103,103,6,6,1,warmup,315657193,315657193,0,0,0,1.7854777469477181e+18,1.7854777472633754e+18,2128087114,2443744307,lane7:F0:s6->s7,4712346,1785477744808446696,1785477746936533810,1785477747252191003
55,rank119:F0,compute,forward,0,119,7,7,119,119,7,7,0,warmup,316263921,316263921,0,0,0,1.785477746942215e+18,1.7854777472584788e+18,2128087114,2444351035,lane7:F0:s6->s7,2128087114,1785477744808446696,1785477746936533810,1785477747252797731
55,lane7:F2:s4->s5,pp_message,forward,2,-1,4,7,71,87,4,5,-1,p2p,4712346,0,0,4712346,0,,,2262909872,2267622218,rank71:F2,0,1785477744808446696,1785477747071356568,1785477747076068914
55,rank87:F2,compute,forward,2,87,5,7,87,87,5,5,2,warmup,349729022,349729022,0,0,0,1.7854777470920714e+18,1.7854777474418004e+18,2267622218,2617351240,lane7:F2:s4->s5,147442973,1785477744808446696,1785477747076068914,1785477747425797936
55,lane7:F3:s3->s4,pp_message,forward,3,-1,3,7,55,71,3,4,-1,p2p,4712346,0,0,4712346,0,,,2282781925,2287494271,rank55:F3,0,1785477744808446696,1785477747091228621,1785477747095940967
55,rank71:F3,compute,forward,3,71,4,7,71,71,4,4,3,warmup,313455068,313455068,0,0,0,1.7854777471143286e+18,1.7854777474277837e+18,2287494271,2600949339,lane7:F3:s3->s4,24584399,1785477744808446696,1785477747095940967,1785477747409396035
55,lane7:F1:s6->s7,pp_message,forward,1,-1,6,7,103,119,6,7,-1,p2p,4712346,0,0,4712346,0,,,2443744307,2448456653,rank103:F1,0,1785477744808446696,1785477747252191003,1785477747256903349
55,lane7:F0:s7->s8,pp_message,forward,0,-1,7,7,119,135,7,8,-1,p2p,4712346,0,0,4712346,0,,,2444351035,2449063381,rank119:F0,0,1785477744808446696,1785477747252797731,1785477747257510077
55,rank119:F1,compute,forward,1,119,7,7,119,119,7,7,1,warmup,311706151,311706151,0,0,0,1.7854777472696259e+18,1.785477747581332e+18,2449063381,2760769532,lane7:F0:s7->s8,4712346,1785477744808446696,1785477747257510077,1785477747569216228
55,rank135:F0,compute,forward,0,135,8,7,135,135,8,8,0,warmup,313301114,313301114,0,0,0,1.7854777472639025e+18,1.7854777475772037e+18,2449063381,2762364495,lane7:F0:s7->s8,2449063381,1785477744808446696,1785477747257510077,1785477747570811191
55,lane7:F3:s4->s5,pp_message,forward,3,-1,4,7,71,87,4,5,-1,p2p,4712346,0,0,4712346,0,,,2600949339,2605661685,rank71:F3,0,1785477744808446696,1785477747409396035,1785477747414108381
55,lane7:F2:s5->s6,pp_message,forward,2,-1,5,7,87,103,5,6,-1,p2p,4712346,0,0,4712346,0,,,2617351240,2622063586,rank87:F2,0,1785477744808446696,1785477747425797936,1785477747430510282
55,rank103:F2,compute,forward,2,103,6,7,103,103,6,6,2,warmup,316134275,316134275,0,0,0,1.785477747447021e+18,1.7854777477631552e+18,2622063586,2938197861,lane7:F2:s5->s6,178319279,1785477744808446696,1785477747430510282,1785477747746644557
55,rank87:F3,compute,forward,3,87,5,7,87,87,5,5,3,warmup,312221104,312221104,0,0,0,1.7854777474521692e+18,1.7854777477643901e+18,2622063586,2934284690,lane7:F2:s5->s6,4712346,1785477744808446696,1785477747430510282,1785477747742731386
55,lane7:F1:s7->s8,pp_message,forward,1,-1,7,7,119,135,7,8,-1,p2p,4712346,0,0,4712346,0,,,2760769532,2765481878,rank119:F1,0,1785477744808446696,1785477747569216228,1785477747573928574
55,lane7:F0:s8->s9,pp_message,forward,0,-1,8,7,135,151,8,9,-1,p2p,4712346,0,0,4712346,0,,,2762364495,2767076841,rank135:F0,0,1785477744808446696,1785477747570811191,1785477747575523537
55,rank135:F1,compute,forward,1,135,8,7,135,135,8,8,1,warmup,311154532,311154532,0,0,0,1.7854777475875302e+18,1.7854777478986847e+18,2767076841,3078231373,lane7:F0:s8->s9,4712346,1785477744808446696,1785477747575523537,1785477747886678069
55,rank151:F0,compute,forward,0,151,9,7,151,151,9,9,0,warmup,320723670,320723670,0,0,0,1.785477747582656e+18,1.7854777479033797e+18,2767076841,3087800511,lane7:F0:s8->s9,2767076841,1785477744808446696,1785477747575523537,1785477747896247207
55,lane7:F3:s5->s6,pp_message,forward,3,-1,5,7,87,103,5,6,-1,p2p,4712346,0,0,4712346,0,,,2934284690,2938997036,rank87:F3,0,1785477744808446696,1785477747742731386,1785477747747443732
55,lane7:F2:s6->s7,pp_message,forward,2,-1,6,7,103,119,6,7,-1,p2p,4712346,0,0,4712346,0,,,2938197861,2942910207,rank103:F2,0,1785477744808446696,1785477747746644557,1785477747751356903
55,rank103:F3,compute,forward,3,103,6,7,103,103,6,6,3,warmup,314767649,314767649,0,0,0,1.7854777477741007e+18,1.7854777480888684e+18,2942910207,3257677856,lane7:F2:s6->s7,4712346,1785477744808446696,1785477747751356903,1785477748066124552
55,rank119:F2,compute,forward,2,119,7,7,119,119,7,7,2,warmup,310472579,310472579,0,0,0,1.78547774776845e+18,1.7854777480789228e+18,2942910207,3253382786,lane7:F2:s6->s7,182140675,1785477744808446696,1785477747751356903,1785477748061829482
55,lane7:F1:s8->s9,pp_message,forward,1,-1,8,7,135,151,8,9,-1,p2p,4712346,0,0,4712346,0,,,3078231373,3082943719,rank135:F1,0,1785477744808446696,1785477747886678069,1785477747891390415
55,lane7:F0:s9->s10,pp_message,forward,0,-1,9,7,151,167,9,10,-1,p2p,4712346,0,0,4712346,0,,,3087800511,3092512857,rank151:F0,0,1785477744808446696,1785477747896247207,1785477747900959553
55,rank151:F1,compute,forward,1,151,9,7,151,151,9,9,1,warmup,318265636,318265636,0,0,0,1.7854777479136812e+18,1.7854777482319468e+18,3092512857,3410778493,lane7:F0:s9->s10,4712346,1785477744808446696,1785477747900959553,1785477748219225189
55,rank167:F0,compute,forward,0,167,10,7,167,167,10,10,0,warmup,320491061,320491061,0,0,0,1.7854777479088328e+18,1.7854777482293238e+18,3092512857,3413003918,lane7:F0:s9->s10,3092512857,1785477744808446696,1785477747900959553,1785477748221450614
55,lane7:F2:s7->s8,pp_message,forward,2,-1,7,7,119,135,7,8,-1,p2p,4712346,0,0,4712346,0,,,3253382786,3258095132,rank119:F2,0,1785477744808446696,1785477748061829482,1785477748066541828
55,lane7:F3:s6->s7,pp_message,forward,3,-1,6,7,103,119,6,7,-1,p2p,4712346,0,0,4712346,0,,,3257677856,3262390202,rank103:F3,0,1785477744808446696,1785477748066124552,1785477748070836898
55,rank135:F2,compute,forward,2,135,8,7,135,135,8,8,2,warmup,311342832,311342832,0,0,0,1.785477748084073e+18,1.7854777483954156e+18,3258095132,3569437964,lane7:F2:s7->s8,179863759,1785477744808446696,1785477748066541828,1785477748377884660
55,rank119:F3,compute,forward,3,119,7,7,119,119,7,7,3,warmup,340504461,340504461,0,0,0,1.7854777480940334e+18,1.7854777484345377e+18,3262390202,3602894663,lane7:F3:s6->s7,9007416,1785477744808446696,1785477748070836898,1785477748411341359
55,lane7:F1:s9->s10,pp_message,forward,1,-1,9,7,151,167,9,10,-1,p2p,4712346,0,0,4712346,0,,,3410778493,3415490839,rank151:F1,0,1785477744808446696,1785477748219225189,1785477748223937535
55,lane7:F0:s10->s11,pp_message,forward,0,-1,10,7,167,183,10,11,-1,p2p,4712346,0,0,4712346,0,,,3413003918,3417716264,rank167:F0,0,1785477744808446696,1785477748221450614,1785477748226162960
55,rank167:F1,compute,forward,1,167,10,7,167,167,10,10,1,warmup,324904442,324904442,0,0,0,1.7854777482393892e+18,1.7854777485642936e+18,3417716264,3742620706,lane7:F0:s10->s11,4712346,1785477744808446696,1785477748226162960,1785477748551067402
55,rank183:F0,compute,forward,0,183,11,7,183,183,11,11,0,warmup,311543675,311543675,0,0,0,1.785477748234996e+18,1.7854777485465398e+18,3417716264,3729259939,lane7:F0:s10->s11,3417716264,1785477744808446696,1785477748226162960,1785477748537706635
55,lane7:F2:s8->s9,pp_message,forward,2,-1,8,7,135,151,8,9,-1,p2p,4712346,0,0,4712346,0,,,3569437964,3574150310,rank135:F2,0,1785477744808446696,1785477748377884660,1785477748382597006
55,rank151:F2,compute,forward,2,151,9,7,151,151,9,9,2,warmup,318257217,318257217,0,0,0,1.785477748400535e+18,1.7854777487187922e+18,3574150310,3892407527,lane7:F2:s8->s9,163371817,1785477744808446696,1785477748382597006,1785477748700854223
55,lane7:F3:s7->s8,pp_message,forward,3,-1,7,7,119,135,7,8,-1,p2p,4712346,0,0,4712346,0,,,3602894663,3607607009,rank119:F3,0,1785477744808446696,1785477748411341359,1785477748416053705
55,rank135:F3,compute,forward,3,135,8,7,135,135,8,8,3,warmup,311019277,311019277,0,0,0,1.785477748439676e+18,1.7854777487506954e+18,3607607009,3918626286,lane7:F3:s7->s8,38169045,1785477744808446696,1785477748416053705,1785477748727072982
55,lane7:F0:s11->s12,pp_message,forward,0,-1,11,7,183,199,11,12,-1,p2p,4712346,0,0,4712346,0,,,3729259939,3733972285,rank183:F0,0,1785477744808446696,1785477748537706635,1785477748542418981
55,rank199:F0,compute,forward,0,199,12,7,199,199,12,12,0,warmup,312803328,312803328,0,0,0,1.7854777485522245e+18,1.7854777488650278e+18,3733972285,4046775613,lane7:F0:s11->s12,3733972285,1785477744808446696,1785477748542418981,1785477748855222309
55,lane7:F1:s10->s11,pp_message,forward,1,-1,10,7,167,183,10,11,-1,p2p,4712346,0,0,4712346,0,,,3742620706,3747333052,rank167:F1,0,1785477744808446696,1785477748551067402,1785477748555779748
55,rank183:F1,compute,forward,1,183,11,7,183,183,11,11,1,warmup,316079702,316079702,0,0,0,1.785477748569447e+18,1.7854777488855268e+18,3747333052,4063412754,lane7:F1:s10->s11,18073113,1785477744808446696,1785477748555779748,1785477748871859450
55,lane7:F2:s9->s10,pp_message,forward,2,-1,9,7,151,167,9,10,-1,p2p,4712346,0,0,4712346,0,,,3892407527,3897119873,rank151:F2,0,1785477744808446696,1785477748700854223,1785477748705566569
55,rank167:F2,compute,forward,2,167,10,7,167,167,10,10,2,warmup,333842741,333842741,0,0,0,1.7854777487240763e+18,1.785477749057919e+18,3897119873,4230962614,lane7:F2:s9->s10,154499167,1785477744808446696,1785477748705566569,1785477749039409310
55,lane7:F3:s8->s9,pp_message,forward,3,-1,8,7,135,151,8,9,-1,p2p,4712346,0,0,4712346,0,,,3918626286,3923338632,rank135:F3,0,1785477744808446696,1785477748727072982,1785477748731785328
55,rank151:F3,compute,forward,3,151,9,7,151,151,9,9,3,warmup,318794996,318794996,0,0,0,1.7854777487558817e+18,1.7854777490746767e+18,3923338632,4242133628,lane7:F3:s8->s9,30931105,1785477744808446696,1785477748731785328,1785477749050580324
