iteration,pp_stage,behavior,kind,round,group_key,group_size,observed_ranks,actual_first_start_ns,actual_ready_ns,actual_end_ns,predicted_first_start_ns,predicted_ready_ns,predicted_end_ns,baseline_service_ns,predicted_service_ns,dependency_lag_ns_min,dependency_lag_ns_max,payload_bytes,actual_arrival_skew_ns,predicted_arrival_skew_ns,actual_group_fct_ns,predicted_group_fct_ns
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1065,2,2,1785477765034365573,1785477765034392193,1785477765090062258,1785477765012505784,1785477765012532404,1785477765068202469,55670065,55670065,11400,25160,1887436800.0,26620,26620,55696685,55696685
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1067,2,2,1785477765034327461,1785477765034394760,1785477765088697130,1785477765012467672,1785477765012534971,1785477765066837341,54302370,54302370,10711,11640,1887436800.0,67299,67299,54369669,54369669
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1069,2,2,1785477765034296064,1785477765034386616,1785477765088651948,1785477765012436275,1785477765012526827,1785477765066792159,54265332,54265332,11120,37801,1887436800.0,90552,90552,54355884,54355884
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1071,2,2,1785477765034307326,1785477765034396120,1785477765093335789,1785477765012447537,1785477765012536331,1785477765071476000,58939669,58939669,10680,13489,1887436800.0,88794,88794,59028463,59028463
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1073,2,2,1785477765034371208,1785477765034400713,1785477765087648292,1785477765012511419,1785477765012540924,1785477765065788503,53247579,53247579,19160,56880,1887436800.0,29505,29505,53277084,53277084
55,1,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1059,2,2,1785477765189144261,1785477765189147172,1785477765247058593,1785477765167284472,1785477765167287383,1785477765225198804,57911421,57911421,11120,11600,1887436800.0,2911,2911,57914332,57914332
55,1,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1061,2,2,1785477765189109126,1785477765189176196,1785477765241407576,1785477765167249337,1785477765167316407,1785477765219547787,52231380,52231380,10720,10800,1887436800.0,67070,67070,52298450,52298450
55,1,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1063,2,2,1785477765189146896,1785477765189171482,1785477765242674468,1785477765167287107,1785477765167311693,1785477765220814679,53502986,53502986,12360,33960,1887436800.0,24586,24586,53527572,53527572
55,1,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1065,2,2,1785477765189131497,1785477765189200055,1785477765243663998,1785477765167271708,1785477765167340266,1785477765221804209,54463943,54463943,22600,63640,1887436800.0,68558,68558,54532501,54532501
55,1,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1067,2,2,1785477765189114197,1785477765189179253,1785477765244220106,1785477765167254408,1785477765167319464,1785477765222360317,55040853,55040853,10640,11440,1887436800.0,65056,65056,55105909,55105909
55,1,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1069,2,2,1785477765189091362,1785477765189180618,1785477765241719097,1785477765167231573,1785477765167320829,1785477765219859308,52538479,52538479,29520,47080,1887436800.0,89256,89256,52627735,52627735
55,1,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1071,2,2,1785477765189109579,1785477765189164067,1785477765243903729,1785477765167249790,1785477765167304278,1785477765222043940,54739662,54739662,11840,15560,1887436800.0,54488,54488,54794150,54794150
55,1,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1073,2,2,1785477765189115851,1785477765189201482,1785477765241584473,1785477765167256062,1785477765167341693,1785477765219724684,52382991,52382991,11680,39400,1887436800.0,85631,85631,52468622,52468622
55,1,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1059,2,2,1785477764528831299,1785477764528970694,1785477764737726003,1785477764505796713,1785477764505936108,1785477764714691417,208755309,208755309,17337706,17482983,7549747200.0,139395,139395,208894704,208894704
55,1,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1061,2,2,1785477764529061534,1785477764529219254,1785477764741462778,1785477764506026948,1785477764506184668,1785477764718428192,212243524,212243524,17530431,17737993,7549747200.0,157720,157720,212401244,212401244
55,1,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1063,2,2,1785477764528894927,1785477764529045827,1785477764739656191,1785477764505860341,1785477764506011241,1785477764716621605,210610364,210610364,17359916,17715250,7549747200.0,150900,150900,210761264,210761264
55,1,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1065,2,2,1785477764529059096,1785477764529084206,1785477764737424237,1785477764506024510,1785477764506049620,1785477764714389651,208340031,208340031,17590406,17600669,7549747200.0,25110,25110,208365141,208365141
55,1,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1067,2,2,1785477764528898832,1785477764529277143,1785477764741496474,1785477764505864246,1785477764506242557,1785477764718461888,212219331,212219331,17385823,17772775,7549747200.0,378311,378311,212597642,212597642
55,1,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1069,2,2,1785477764528965175,1785477764528972222,1785477764736562412,1785477764505930589,1785477764505937636,1785477764713527826,207590190,207590190,17497540,17579320,7549747200.0,7047,7047,207597237,207597237
55,1,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1071,2,2,1785477764528950047,1785477764529473165,1785477764744234258,1785477764505915461,1785477764506438579,1785477764721199672,214761093,214761093,17585873,17954684,7549747200.0,523118,523118,215284211,215284211
55,1,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1073,2,2,1785477764529193761,1785477764529316858,1785477764738651189,1785477764506159175,1785477764506282272,1785477764715616603,209334331,209334331,17690125,17810472,7549747200.0,123097,123097,209457428,209457428
55,2,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=5,16,16,1785477765025502132,1785477765026724641,1785477765034191236,1785477765003642343,1785477765004864852,1785477765012331447,7466595,7466595,28825875,30048384,98621440.0,1222509,1222509,8689104,8689104
55,2,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=5,16,16,1785477765174971399,1785477765180593132,1785477765188225326,1785477765153111610,1785477765158733343,1785477765166365537,7632194,7632194,86355847,88582927,98621440.0,5621733,5621733,13253927,13253927
55,2,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=5,16,16,1785477763552431370,1785477763669752962,1785477763685286924,1785477763520434068,1785477763648241640,1785477763663775602,15533962,15533962,0,0,3155886080.0,117321592,127807572,132855554,143341534
55,2,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1075,2,2,1785477765034191927,1785477765034232476,1785477765088615552,1785477765012332138,1785477765012372687,1785477765066755763,54383076,54383076,10880,75720,1887436800.0,40549,40549,54423625,54423625
55,2,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1077,2,2,1785477765034173855,1785477765034184632,1785477765088611406,1785477765012314066,1785477765012324843,1785477765066751617,54426774,54426774,11320,22600,1887436800.0,10777,10777,54437551,54437551
55,2,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1079,2,2,1785477765034099264,1785477765034217741,1785477765088742732,1785477765012239475,1785477765012357952,1785477765066882943,54524991,54524991,10645,33240,1887436800.0,118477,118477,54643468,54643468
55,2,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1081,2,2,1785477765034115075,1785477765034207036,1785477765092844710,1785477765012255286,1785477765012347247,1785477765070984921,58637674,58637674,15800,31120,1887436800.0,91961,91961,58729635,58729635
55,2,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1083,2,2,1785477765034109629,1785477765034198836,1785477765088994010,1785477765012249840,1785477765012339047,1785477765067134221,54795174,54795174,10560,10720,1887436800.0,89207,89207,54884381,54884381
55,2,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1085,2,2,1785477765034186977,1785477765034229495,1785477765092586824,1785477765012327188,1785477765012369706,1785477765070727035,58357329,58357329,11994,85840,1887436800.0,42518,42518,58399847,58399847
55,2,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1087,2,2,1785477765034156816,1785477765034201614,1785477765090069776,1785477765012297027,1785477765012341825,1785477765068209987,55868162,55868162,10618,11600,1887436800.0,44798,44798,55912960,55912960
55,2,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1089,2,2,1785477765034147698,1785477765034168354,1785477765087743667,1785477765012287909,1785477765012308565,1785477765065883878,53575313,53575313,16448,18720,1887436800.0,20656,20656,53595969,53595969
55,2,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1075,2,2,1785477765188173025,1785477765188222301,1785477765242722277,1785477765166313236,1785477765166362512,1785477765220862488,54499976,54499976,11000,13040,1887436800.0,49276,49276,54549252,54549252
55,2,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1077,2,2,1785477765188189452,1785477765188230883,1785477765241413263,1785477765166329663,1785477765166371094,1785477765219553474,53182380,53182380,10600,11160,1887436800.0,41431,41431,53223811,53223811
55,2,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1079,2,2,1785477765188170581,1785477765188261436,1785477765242019544,1785477765166310792,1785477765166401647,1785477765220159755,53758108,53758108,10920,48160,1887436800.0,90855,90855,53848963,53848963
55,2,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1081,2,2,1785477765188168555,1785477765188271706,1785477765240399799,1785477765166308766,1785477765166411917,1785477765218540010,52128093,52128093,10880,64321,1887436800.0,103151,103151,52231244,52231244
55,2,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1083,2,2,1785477765188176329,1785477765188246354,1785477765242088144,1785477765166316540,1785477765166386565,1785477765220228355,53841790,53841790,10720,33609,1887436800.0,70025,70025,53911815,53911815
55,2,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1085,2,2,1785477765188204616,1785477765188270230,1785477765241502533,1785477765166344827,1785477765166410441,1785477765219642744,53232303,53232303,14680,56480,1887436800.0,65614,65614,53297917,53297917
55,2,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1087,2,2,1785477765188214031,1785477765188271296,1785477765240319975,1785477765166354242,1785477765166411507,1785477765218460186,52048679,52048679,12040,55400,1887436800.0,57265,57265,52105944,52105944
55,2,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1089,2,2,1785477765188172304,1785477765188243206,1785477765244460172,1785477765166312515,1785477765166383417,1785477765222600383,56216966,56216966,11520,17880,1887436800.0,70902,70902,56287868,56287868
55,2,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1075,2,2,1785477763702676726,1785477763702784677,1785477763905895886,1785477763681165404,1785477763681273355,1785477763884384564,203111209,203111209,17439057,17532996,7549747200.0,107951,107951,203219160,203219160
55,2,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1077,2,2,1785477763702776971,1785477763702908767,1785477763914267744,1785477763681265649,1785477763681397445,1785477763892756422,211358977,211358977,17598445,17646230,7549747200.0,131796,131796,211490773,211490773
55,2,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1079,2,2,1785477763702872569,1785477763702987235,1785477763913121707,1785477763681361247,1785477763681475913,1785477763891610385,210134472,210134472,17635181,17702679,7549747200.0,114666,114666,210249138,210249138
55,2,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1081,2,2,1785477763702835016,1785477763702950435,1785477763914378120,1785477763681323694,1785477763681439113,1785477763892866798,211427685,211427685,17611725,17677390,7549747200.0,115419,115419,211543104,211543104
55,2,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1083,2,2,1785477763702861193,1785477763703271336,1785477763913402385,1785477763681349871,1785477763681760014,1785477763891891063,210131049,210131049,17605504,18064185,7549747200.0,410143,410143,210541192,210541192
55,2,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1085,2,2,1785477763702920446,1785477763703009968,1785477763915451587,1785477763681409124,1785477763681498646,1785477763893940265,212441619,212441619,17752289,17753088,7549747200.0,89522,89522,212531141,212531141
55,2,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1087,2,2,1785477763702765509,1785477763702787491,1785477763911848259,1785477763681254187,1785477763681276169,1785477763890336937,209060768,209060768,17507295,17617012,7549747200.0,21982,21982,209082750,209082750
55,2,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1089,2,2,1785477763702788888,1785477763702871761,1785477763913824697,1785477763681277566,1785477763681360439,1785477763892313375,210952936,210952936,17555274,17584837,7549747200.0,82873,82873,211035809,211035809
55,3,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=7,16,16,1785477765025299474,1785477765027023381,1785477765034526186,1785477765003439685,1785477765005163592,1785477765012666397,7502805,7502805,28623217,30347124,98621440.0,1723907,1723907,9226712,9226712
55,3,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=7,16,16,1785477765174883871,1785477765184697436,1785477765192071543,1785477765153024082,1785477765162837647,1785477765170211754,7374107,7374107,86659784,88615491,98621440.0,9813565,9813565,17187672,17187672
55,3,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=7,16,16,1785477762734479230,1785477762865729728,1785477762881695285,1785477762702213911,1785477762844985531,1785477762860951088,15965557,15965557,0,0,3155886080.0,131250498,142771620,147216055,158737177
55,3,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1091,2,2,1785477765034482095,1785477765034577567,1785477765088276844,1785477765012622306,1785477765012717778,1785477765066417055,53699277,53699277,10600,59841,1887436800.0,95472,95472,53794749,53794749
