iteration,pp_stage,behavior,kind,round,group_key,fct_group_id,group_size,observed_ranks,payload_bytes,reference_first_start_ns,reference_ready_ns,reference_group_end_ns,simulated_first_start_ns,simulated_ready_ns,simulated_group_end_ns,reference_tail_after_last_release_ns,simulated_tail_after_last_release_ns,network_tail_shift_ns,group_finish_shift_ns,iteration_drag_ns,hidden_by_slack_ns,downstream_slack_ns,exposure_ratio,fully_hidden,critical_before,critical_after
55,11,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1219,iter55:pp11:edp_ag0:round0:expert_dp_param_allgather:pg=1219,2,2,1887436800,1785477765012162442,1785477765012225591,1785477765065688587,1785477765012162442,1785477765012225591,1785477765065688587,53462996,53462996,0,0,0,0,22003207,,False,False,False
55,11,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1221,iter55:pp11:edp_ag0:round0:expert_dp_param_allgather:pg=1221,2,2,1887436800,1785477765012173933,1785477765012224256,1785477765067683545,1785477765012173933,1785477765012224256,1785477765067683545,55459289,55459289,0,0,0,0,18884142,,False,False,False
55,11,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1223,iter55:pp11:edp_ag0:round0:expert_dp_param_allgather:pg=1223,2,2,1887436800,1785477765012155008,1785477765012225846,1785477765065455984,1785477765012155008,1785477765012225846,1785477765065455984,53230138,53230138,0,0,0,0,21076987,,False,False,False
55,11,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1225,iter55:pp11:edp_ag0:round0:expert_dp_param_allgather:pg=1225,2,2,1887436800,1785477765012233817,1785477765012239202,1785477765068119500,1785477765012233817,1785477765012239202,1785477765068119500,55880298,55880298,0,0,0,0,18571753,,False,False,False
55,11,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1227,iter55:pp11:edp_ag0:round0:expert_dp_param_allgather:pg=1227,2,2,1887436800,1785477765012162490,1785477765012224780,1785477765073002527,1785477765012162490,1785477765012224780,1785477765073002527,60777747,60777747,0,0,0,0,14596677,,False,False,False
55,11,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1229,iter55:pp11:edp_ag0:round0:expert_dp_param_allgather:pg=1229,2,2,1887436800,1785477765012138476,1785477765012215605,1785477765065466913,1785477765012138476,1785477765012215605,1785477765065466913,53251308,53251308,0,0,0,0,21411085,,False,False,False
55,11,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1231,iter55:pp11:edp_ag0:round0:expert_dp_param_allgather:pg=1231,2,2,1887436800,1785477765012222438,1785477765012232106,1785477765065088264,1785477765012222438,1785477765012232106,1785477765065088264,52856158,52856158,0,0,0,0,21496261,,False,False,False
55,11,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1233,iter55:pp11:edp_ag0:round0:expert_dp_param_allgather:pg=1233,2,2,1887436800,1785477765012207874,1785477765012225410,1785477765064547443,1785477765012207874,1785477765012225410,1785477765064547443,52322033,52322033,0,0,0,0,22692266,,False,False,False
55,11,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1219,iter55:pp11:edp_ag1:round1:expert_dp_param_allgather:pg=1219,2,2,1887436800,1785477765167613315,1785477765167679849,1785477765221435300,1785477765167613315,1785477765167679849,1785477765221435300,53755451,53755451,0,0,0,0,18412959,,False,False,False
55,11,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1221,iter55:pp11:edp_ag1:round1:expert_dp_param_allgather:pg=1221,2,2,1887436800,1785477765167609343,1785477765167620311,1785477765225251582,1785477765167609343,1785477765167620311,1785477765225251582,57631271,57631271,0,0,0,0,14596677,,False,False,False
55,11,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1223,iter55:pp11:edp_ag1:round1:expert_dp_param_allgather:pg=1223,2,2,1887436800,1785477765167579684,1785477765167625945,1785477765221264560,1785477765167579684,1785477765167625945,1785477765221264560,53638615,53638615,0,0,0,0,18583699,,False,False,False
55,11,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1225,iter55:pp11:edp_ag1:round1:expert_dp_param_allgather:pg=1225,2,2,1887436800,1785477765167605416,1785477765167634364,1785477765220827355,1785477765167605416,1785477765167634364,1785477765220827355,53192991,53192991,0,0,0,0,19020904,,False,False,False
55,11,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1227,iter55:pp11:edp_ag1:round1:expert_dp_param_allgather:pg=1227,2,2,1887436800,1785477765167624281,1785477765167640573,1785477765222838247,1785477765167624281,1785477765167640573,1785477765222838247,55197674,55197674,0,0,0,0,17010012,,False,False,False
55,11,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1229,iter55:pp11:edp_ag1:round1:expert_dp_param_allgather:pg=1229,2,2,1887436800,1785477765167609637,1785477765167630802,1785477765219802615,1785477765167609637,1785477765167630802,1785477765219802615,52171813,52171813,0,0,0,0,20045644,,False,False,False
55,11,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1231,iter55:pp11:edp_ag1:round1:expert_dp_param_allgather:pg=1231,2,2,1887436800,1785477765167591484,1785477765167606024,1785477765222163425,1785477765167591484,1785477765167606024,1785477765222163425,54557401,54557401,0,0,0,0,17684834,,False,False,False
55,11,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1233,iter55:pp11:edp_ag1:round1:expert_dp_param_allgather:pg=1233,2,2,1887436800,1785477765167626876,1785477765167670389,1785477765221962609,1785477765167626876,1785477765167670389,1785477765221962609,54292220,54292220,0,0,0,0,17885650,,False,False,False
55,11,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1219,iter55:pp11:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1219,2,2,7549747200,1785477756512000170,1785477756512263659,1785477756730884756,1785477756512000170,1785477756512263659,1785477756730884756,218621097,218621097,0,0,0,0,8243931712,,False,False,False
55,11,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1221,iter55:pp11:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1221,2,2,7549747200,1785477756512101953,1785477756512120684,1785477756721025304,1785477756512101953,1785477756512120684,1785477756721025304,208904620,208904620,0,0,0,0,8253791164,,False,False,False
