arrival_wait_ns,group_ready_ns,kind,behavior,group_size,service_ns,group_key,completion_advance_ns,round,end_ns,start_ns,group_end_ns,observed_ranks,group_first_start_ns,iteration,rank,pp_stage,payload_bytes,dependency,dependency_lag_ns,predicted_start_ns,predicted_group_ready_ns,predicted_group_first_start_ns,service_scale,fct_group_id,fct_request_id,fct_source,oisa_collective_elapsed_ns,oisa_arrival_span_ns,oisa_tail_after_last_release_ns,predicted_collective_elapsed_ns,predicted_service_ns,predicted_group_end_ns,provider_rank_done_offset_ns,predicted_completion_advance_ns,completion_model,predicted_end_ns
959405,1785477765077909588,dp_ag1,dp_param_allgather,16,11548154,dp_param_allgather:pg=1,1571,1,1785477765089456171,1785477765076950183,1785477765089457742,16,1785477765074595964,55,4,0,148986880,same_rank_edp_ag0,22593330,1785477765055090394,1785477765056049799,1785477765052736175,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-a9165bc30096,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,14861778,3313624,11548154,14861778,11548154,1785477765067597953,-1,1571,trace_group_end_lag_clamped,1785477765067596382
2800357,1785477765077909588,dp_ag1,dp_param_allgather,16,11548154,dp_param_allgather:pg=1,6026,1,1785477765089451716,1785477765075109231,1785477765089457742,16,1785477765074595964,55,5,0,148986880,same_rank_edp_ag0,22662870,1785477765053249442,1785477765056049799,1785477765052736175,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-a9165bc30096,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,14861778,3313624,11548154,14861778,11548154,1785477765067597953,-1,6026,trace_group_end_lag_clamped,1785477765067591927
2091993,1785477765077909588,dp_ag1,dp_param_allgather,16,11548154,dp_param_allgather:pg=1,47929,1,1785477765089409813,1785477765075817595,1785477765089457742,16,1785477765074595964,55,6,0,148986880,same_rank_edp_ag0,22576176,1785477765053957806,1785477765056049799,1785477765052736175,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-a9165bc30096,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,14861778,3313624,11548154,14861778,11548154,1785477765067597953,-1,47929,trace_group_end_lag_clamped,1785477765067550024
3036170,1785477765077909588,dp_ag1,dp_param_allgather,16,11548154,dp_param_allgather:pg=1,15759,1,1785477765089441983,1785477765074873418,1785477765089457742,16,1785477765074595964,55,7,0,148986880,same_rank_edp_ag0,22621150,1785477765053013629,1785477765056049799,1785477765052736175,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-a9165bc30096,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,14861778,3313624,11548154,14861778,11548154,1785477765067597953,-1,15759,trace_group_end_lag_clamped,1785477765067582194
2235504,1785477765077909588,dp_ag1,dp_param_allgather,16,11548154,dp_param_allgather:pg=1,22514,1,1785477765089435228,1785477765075674084,1785477765089457742,16,1785477765074595964,55,8,0,148986880,same_rank_edp_ag0,23451482,1785477765053814295,1785477765056049799,1785477765052736175,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-a9165bc30096,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,14861778,3313624,11548154,14861778,11548154,1785477765067597953,-1,22514,trace_group_end_lag_clamped,1785477765067575439
886866,1785477765077909588,dp_ag1,dp_param_allgather,16,11548154,dp_param_allgather:pg=1,26240,1,1785477765089431502,1785477765077022722,1785477765089457742,16,1785477765074595964,55,9,0,148986880,same_rank_edp_ag0,23637236,1785477765055162933,1785477765056049799,1785477765052736175,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-a9165bc30096,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,14861778,3313624,11548154,14861778,11548154,1785477765067597953,-1,26240,trace_group_end_lag_clamped,1785477765067571713
1746618,1785477765077909588,dp_ag1,dp_param_allgather,16,11548154,dp_param_allgather:pg=1,14855,1,1785477765089442887,1785477765076162970,1785477765089457742,16,1785477765074595964,55,10,0,148986880,same_rank_edp_ag0,23803866,1785477765054303181,1785477765056049799,1785477765052736175,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-a9165bc30096,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,14861778,3313624,11548154,14861778,11548154,1785477765067597953,-1,14855,trace_group_end_lag_clamped,1785477765067583098
2418749,1785477765077909588,dp_ag1,dp_param_allgather,16,11548154,dp_param_allgather:pg=1,26939,1,1785477765089430803,1785477765075490839,1785477765089457742,16,1785477765074595964,55,11,0,148986880,same_rank_edp_ag0,23612154,1785477765053631050,1785477765056049799,1785477765052736175,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-a9165bc30096,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,14861778,3313624,11548154,14861778,11548154,1785477765067597953,-1,26939,trace_group_end_lag_clamped,1785477765067571014
0,1785477765077909588,dp_ag1,dp_param_allgather,16,11548154,dp_param_allgather:pg=1,14876,1,1785477765089442866,1785477765077909588,1785477765089457742,16,1785477765074595964,55,12,0,148986880,same_rank_edp_ag0,23552704,1785477765056049799,1785477765056049799,1785477765052736175,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-a9165bc30096,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,14861778,3313624,11548154,14861778,11548154,1785477765067597953,-1,14876,trace_group_end_lag_clamped,1785477765067583077
1939251,1785477765077909588,dp_ag1,dp_param_allgather,16,11548154,dp_param_allgather:pg=1,62453,1,1785477765089395289,1785477765075970337,1785477765089457742,16,1785477765074595964,55,13,0,148986880,same_rank_edp_ag0,23517936,1785477765054110548,1785477765056049799,1785477765052736175,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-a9165bc30096,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,14861778,3313624,11548154,14861778,11548154,1785477765067597953,-1,62453,trace_group_end_lag_clamped,1785477765067535500
