request_id,first_release_ns,last_release_ns,last_flow_end_ns,collective_elapsed_ns,arrival_span_ns,tail_after_last_release_ns,network_tail_after_last_release_ns,trace_calibration_residual_ns,software_residual_ns,simulator_bias_correction_ns,rank_network_done_offsets_ns,source,simulator_commit,topology_hash
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1057:rel-69f287cc15be,0,171775,48353127,48353127,171775,48181352,37792316,10389036,10389036,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1059:rel-2afe772e0e28,0,139395,208894704,208894704,139395,208755309,151169266,57586043,57586043,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1061:rel-bb3f7ab23c96,0,157720,212401244,212401244,157720,212243524,151169266,61074258,61074258,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1063:rel-24b1075fef7f,0,150900,210761264,210761264,150900,210610364,151169266,59441098,59441098,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1065:rel-d9659fa15c73,0,25110,208365141,208365141,25110,208340031,151169266,57170765,57170765,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1067:rel-b2c47db54841,0,378311,212597642,212597642,378311,212219331,151169266,61050065,61050065,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1069:rel-ce6031e473de,0,7047,207597237,207597237,7047,207590190,151169266,56420924,56420924,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1071:rel-811b79c8a7f4,0,523118,215284211,215284211,523118,214761093,151169266,63591827,63591827,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1073:rel-5255528a9a39,0,123097,209457428,209457428,123097,209334331,151169266,58165065,58165065,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1075:rel-16df77b952d7,0,107951,203219160,203219160,107951,203111209,151169266,51941943,51941943,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
